	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
9503101	2101002	7	{}		100	1	「这个熊散发着不祥的气息」	1	{}			{}	{}					9503102	1	1									{}											{}											{}							scene/bg/bg_wanoudian1.png			1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9503201	2101002	7	{}		100	1	「再看看其他的吧」	1	{}			{}	{}					9503202	1	1									{}											{}											{}							scene/bg/bg_wanoudian1.png			1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9503301	2101002	7	{}		100		使用限量券购买	1	{}			{}	{}					9503302	1	1									{}											{}											{}							scene/bg/bg_wanoudian1.png			1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9503102	2101002	7	{}		100		1	1	{}			{}	{}					9503103				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9503103	2101002	7	{}		100	夜刀神十香	「诶？这个熊有什么气味么？」	1	{}			{}	{}					1009503103		10104	2		id_pose_10		id_look_11			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
1009503103	2101002	7	{}		100		1	1	{}			{}	{}					9503104				2							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9503104	2101002	7	{}		100			1	{}			{}	{}					9503105											{}											{}											{}												{}																	{}	{}					{}	{}				
9503105	2101002	7	{}		100		十香把脑袋凑了过来，似乎想知道有什么味道。	1	{}			{}	{}					9503106		10104	3							2	{}	1.6										{}											{}							scene/bg/bg_wanoudian1.png	12		1.5	-1	{"x":0,"y":0}																	{}	{}					{}	{}				
9503106	2101002	7	{}		100	1	「不是说可以闻到的气味啦，是更为抽象的感觉。」	1	{}			{}	{}					9503206	2	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503202	2101002	7	{}		100	夜刀神十香	「唔，不太明白……那这个不可以买么？」	1	{}			{}	{}					9503203		1			id_pose_10	1	id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}				
9503203	2101002	7	{}		100	1	「这里还有这么多玩偶，要认真考虑买哪一个呢，嗯……嗯嗯！」	1	{}			{}	{}					9503204		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503204	2101002	7	{}		100	夜刀神十香	「嗯……嗯嗯！」	1	{}			{}	{}					9503205		1				1					{}											{}											{}												{}																	{}	{}					{}	{}				
9503205	2101002	7	{}		100		十香学着我故作认真的样子点了点头。	1	{}			{}	{}					9503206		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503206	2101002	7	{}		100	1	「话说，逛了这么久有些口渴了，十香要不要喝点什么？」	1	{}			{}	{}					9503207		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503207	2101002	7	{}		100	夜刀神十香	「唔姆！我要喝 %s 亲手做的橙汁！」	1	{}			{}	{}					9503208		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9503208	2101002	7	{}		100	1	「……虽然很高兴听到你这么说，但现在只能在附近买到灌装的饮料啊。」	1	{}			{}	{}					9503209		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503209	2101002	7	{}		100	夜刀神十香	「诶？？不是 %s 亲手做的么？」	1	{}			{}	{}					9503210		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9503210	2101002	7	{}		100	1	「没错……」	1	{}			{}	{}					9503211		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503211	2101002	7	{}		100	夜刀神十香	「唔姆……那好吧……」	1	{}			{}	{}					9503212		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9503212	2101002	7	{}		100	1	「那我稍微离开一下，十香在这里等我，不要乱跑哦！」	1	{}			{}	{}					9503213		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503213	2101002	7	{}		100	夜刀神十香	「那、那个，这次你不会再丢下我独自走开了吧？」	1	{}			{}	{}					9503214		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9503214	2101002	7	{}		100	1	「嗯！不会的……放心好了~」	1	{}			{}	{}					9503215		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503215	2101002	7	{}		100		看来十香还记着之前在水族馆的约会……现在回想都还是觉得很过意不去。	1	{}			{}	{}					9503216		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503216	2101002	7	{}		100			1	{}			{}	{}					1009503217		1									{}											{}											{}							scene/bg/bg_black.png	1		1.3	-1	{}																	{}	{}					{}	{}				
1009503217	2101002	7	{}		100			1	{}			{}	{}					9503217		1									{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9503217	2101002	7	{}		100	1	「哈啊……哈啊……」	1	{}			{}	{}					9503218		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503218	2101002	7	{}		100		为了不让十香久等，我一路小跑到最近的自动贩卖机。	1	{}			{}	{}					9503219		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503219	2101002	7	{}		100	1	「橙汁……橙汁，在哪里呢？找到了！就是这个！」	1	{}			{}	{}					9503220		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503220	2101002	7	{}		100		握着两罐温热的橙汁，我又急匆匆地跑回玩偶店。	1	{}			{}	{}					9503221		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503221	2101002	7	{}		100			1	{}			{}	{}					1009503222		1									{}											{}											{}							scene/bg/bg_black.png	1		1.3	-1	{}																	{}	{}					{}	{}				
1009503222	2101002	7	{}		100			1	{}			{}	{}					9503222		1									{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9503222	2101002	7	{}		100	1	「哈啊……哈啊……十香，你的橙汁买来了哦。」	1	{}			{}	{}					9503223		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503223	2101002	7	{}		100		十香正一脸认真地观察一只章鱼玩偶，并没有回应我。	1	{}			{}	{}					9503224		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503224	2101002	7	{}		100			1	{}			{}	{}					9503225		1									{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9503225	2101002	7	{}		100		1	1	{}			{}	{}				1	9503226				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9503226	2101002	7	{}		100	夜刀神十香	「章鱼先生~你好~」	1	{}			{}	{}					9604101-9604201	5	10104	3		id_normal_1	1				2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9503302	2101002	7	{}		100	1	「泰迪熊限量券，我找找……」	1	{}			{}	{}					9503303		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503303	2101002	7	{}		100	1	「就是这个了！」	1	{}			{}	{}					9503304		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503304	2101002	7	{}		100		我从口袋里拿出可以购买泰迪熊的限量券。	1	{}			{}	{}					9503305		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503305	2101002	7	{}		100		1	1	{}			{}	{}					9503306				2							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9503306	2101002	7	{}		100	夜刀神十香	「毛绒绒~毛绒绒~」	1	{}			{}	{}					9503307		10104	2		id_pose_12	1	id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9503307	2101002	7	{}		100		我呆呆地看着十香抱着泰迪熊一脸幸福地样子，视线完全无法离开。	1	{}			{}	{}					9503308		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503308	2101002	7	{}		100	夜刀神十香	「怎么啦？」	1	{}			{}	{}					9503309		1			id_pose_10	1	id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}				
9503309	2101002	7	{}		100	1	「啊、啊啊……抱歉，发了会呆，很可爱，很适合你哦，十香。」	1	{}			{}	{}					9503310		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503310	2101002	7	{}		100	夜刀神十香	「对吧对吧~泰迪熊先生，真的很可爱啊！」	1	{}			{}	{}					9503311		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9503311	2101002	7	{}		100		可爱的是你才对吧……这种话，实在不好意思说出口。	1	{}			{}	{}					9503312		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503312	2101002	7	{}		100	夜刀神十香	「呜……肚子好饿哦。」	1	{}			{}	{}					9503313		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9503313	2101002	7	{}		100	1	「十香饿了吗？那么——」	1	{}			{}	{}					9503314		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503314	2101002	7	{}		100	夜刀神十香	「我要吃黄豆粉面包吃到饱！！」	1	{}			{}	{}					9503315		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9503315	2101002	7	{}		100	1	「……那、那当然是没问题的……」	1	{}			{}	{}				1	9503316		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9503316	2101002	7	{}		100		我的脸颊抽动了一下，双手紧紧地捏住钱包……	1	{}			{}	{}							1									{}											{}											{}												{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":530111,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":530111,"num":3}]}}				5	{}	{}				
9601101	2101002	7	{}		100		叫醒十香	1	{}			{}	{}					9601102	1	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601201	2101002	7	{}		100		先了解周围情况	1	{}			{}	{}					9601202	1	1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601102	2101002	7	{}		100		1	1	{}			{}	{}					9601103				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9601103	2101002	7	{}		100	夜刀神十香	「唔姆……黄豆粉面包……不要抢我的黄豆粉面包……」	1	{}			{}	{}					9601104		10104	3		id_pose_2		id_look_13			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9601104	2101002	7	{}		100		就连睡觉的时候都想着吃东西么，不愧是十香啊……	1	{}			{}	{}					9601105		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601105	2101002	7	{}		100	1	「十香快醒醒，不然黄豆粉面包就被我吃完了哦~」	1	{}			{}	{}					9601106		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601106	2101002	7	{}		100	夜刀神十香	「黄豆粉面包！！！！」	1	{}			{}	{}					9601107		1			id_normal_2	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9601107	2101002	7	{}		100		十香抬起手揉了揉眼睛，睡眼朦胧地醒了过来。	1	{}			{}	{}					9601108		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601108	2101002	7	{}		100	夜刀神十香	「肚子好饿……」	1	{}			{}	{}					9601109		1			id_pose_12	1	id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}				
9601109	2101002	7	{}		100	夜刀神十香	「咦？这是哪里？跟刚刚的玩偶店不一样了！」	1	{}			{}	{}					9601110		1			id_normal_2	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9601110	2101002	7	{}		100	1	「十香，你听我解释……」	1	{}			{}	{}					9601111		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601111	2101002	7	{}		100		我向一脸惊讶的十香说明了现在的状况。	1	{}			{}	{}					9601112		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601112	2101002	7	{}		100	夜刀神十香	「诶？是要找到3把钥匙才能够离开的意思吗？」	1	{}			{}	{}					9601113		1			id_normal_9	1					{}											{}											{}												{}																	{}	{}					{}	{}				
9601113	2101002	7	{}		100	夜刀神十香	「是这种钥匙么？」	1	{}			{}	{}					9601114		1				1					{}											{}											{}												{}																	{}	{}					{}	{}				
9601114	2101002	7	{}		100		十香有些不好意思地从身后摸出一把玩具钥匙。	1	{}			{}	{}					9601115		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9601115	2101002	7	{}		100		1	1	{}			{}	{}					9601116				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9601116	2101002	7	{}		100	兔子玩偶	「是的！就是这个！这把珍贵的钥匙为什么会在这里？」	1	{}			{}	{}					9601117											{}											{}											{}												{}																	{}	{}					{}	{}				
9601117	2101002	7	{}		100			1	{}			{}	{}					9601118											{}											{}											{}							scene/bg/bg_wanoudian2.png	1		1.5	-1	{"x":-284,"y":160}																	{}	{}					{}	{}				
9601118	2101002	7	{}		100		握着还带着十香体温的钥匙，在兔子玩偶的带领下，我们走到一张桌子面前。	1	{}			{}	{}					9601119											{}											{}											{}												{}																	{}	{}					{}	{}				
9601119	2101002	7	{}		100	兔子玩偶	「这里就是离开的大门。」	1	{}			{}	{}					9601120											{}											{}											{}												{}																	{}	{}					{}	{}				
9601120	2101002	7	{}		100	1	「……原来大门就是这个玩具宝箱啊，上面的确有3个钥匙孔呢。」	1	{}			{}	{}					9601121											{}											{}											{}												{}																	{}	{}					{}	{}				
9601121	2101002	7	{}		100	兔子玩偶	「只要打开大门，你们就会直接离开这个空间。」	1	{}			{}	{}				1	9601122											{}											{}											{}												{}																	{}	{}					{}	{}				
9601122	2101002	7	{}		100		我有些怀疑。就算收集到3把钥匙，这个东西真的能将我送回原来的世界么……	1	{}			{}	{}					9701101-9701201	5										{}											{}											{}												{}																	{}	{}					{}	{}				
9601202	2101002	7	{}		100		在没有了解清楚状况之前，我想还是不要叫醒十香好了。	1	{}			{}	{}					9601203											{}											{}											{}												{}																	{}	{}					{}	{}				
9601203	2101002	7	{}		100			1	{}			{}	{}					9601204											{}											{}											{}							scene/bg/bg_wanoudian2.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9601204	2101002	7	{}		100		眼睛似乎还没有适应周围的光线，我摸索着朝玩具店外挪动着身体。	1	{}			{}	{}					9601205											{}											{}											{}												{}																	{}	{}					{}	{}				
9601205	2101002	7	{}		100			1	{}			{}	{}					9601206											{}											{}											{}							scene/bg/bg_wanoudian2.png	1		1.5	-1	{"x":0,"y":0}																	{}	{}					{}	{}				
9601206	2101002	7	{}		100		原本以为就快要触碰到大门时却发现，现在这里莫名其妙地变成了一堵墙。	1	{}			{}	{}					9601207											{}											{}											{}												{}																	{}	{}					{}	{}				
9601207	2101002	7	{}		100	兔子玩偶	「大哥哥，出口不在这里哦~」	1	{}			{}	{}					9601208											{}											{}											{}												{}																	{}	{}					{}	{}				
9601208	2101002	7	{}		100	1	「为什么会这样……」	1	{}			{}	{}					9601209	2										{}											{}											{}												{}																	{}	{}					{}	{}				
9601209	2101002	7	{}		100		我蹲坐在地上不停地挠着脑袋，对于现在的情况完全没有头绪。	1	{}			{}	{}					9601210											{}											{}											{}												{}																	{}	{}					{}	{}				
9601210	2101002	7	{}		100	夜刀神十香	「放……放开我！不要！」	1	{}			{}	{}					9601211	2										{}											{}											{}												{}																	{}	{}					{}	{}				
9601211	2101002	7	{}		100	1	「……十香！」	1	{}			{}	{}					9601212											{}											{}											{}												{}																	{}	{}					{}	{}				
9601212	2101002	7	{}		100		突然间听到十香的声音，我猛地站了起来。	1	{}			{}	{}					9601213											{}											{}											{}												{}																	{}	{}					{}	{}				
9601213	2101002	7	{}		100		十香在呼救，难道是AST？！	1	{}			{}	{}					9601214											{}											{}											{}												{}																	{}	{}					{}	{}				
9601214	2101002	7	{}		100		想到这里，我立刻朝着声音传出的方向跑去。	1	{}			{}	{}					1009601215											{}											{}											{}												{}																	{}	{}					{}	{}				
1009601215	2101002	7	{}		100			1	{}			{}	{}					9601216											{}											{}											{}							scene/bg/bg_wanoudian2.png	12		1.3	-1	{}																	{}	{}					{}	{}				
9601216	2101002	7	{}		100	1	「这……这是……」	1	{}			{}	{}					9601217											{}											{}											{}												{}																	{}	{}					{}	{}				
9601217	2101002	7	{}		100		我睁大了眼睛注视着这令人吃惊的场景。	1	{}			{}	{}				2	9601218											{}											{}											{}												{}																	{}	{}					{}	{}				
9601218	2101002	7	{}		100			1	{}			{}	{}					9601219											{}											{}											{}								3				{}							date_cg_6										{}	{}					{}	{}				
9601219	2101002	7	{}		100		随即，这份吃惊马上被恐惧所覆盖，肩膀忍不住颤抖起来。	1	{}			{}	{}					9601220											{}											{}											{}												{}																	{}	{}					{}	{}				
9601220	2101002	7	{}		100		十香被缎带紧紧捆住动弹不得。	1	{}			{}	{}					9601221											{}											{}											{}												{}																	{}	{}					{}	{}				
9601221	2101002	7	{}		100	夜刀神十香	「呜呜……快帮我解开这些缎带！好难受……没办法呼吸了……」	1	{}			{}	{}					9601222											{}											{}											{}												{}																	{}	{}					{}	{}				
9601222	2101002	7	{}		100		在十香身后，一只巨型的章鱼玩偶正在操纵着这些缎带。	1	{}			{}	{}					9601223											{}											{}											{}												{}																	{}	{}					{}	{}				
9601223	2101002	7	{}		100		根本就来不及搞清楚发生了什么，我只有硬着头皮冲了过去。	1	{}			{}	{}				1	9601224											{}											{}											{}												{}																	{}	{}					{}	{}				
9601224	2101002	7	{}		100		缎带在十香身上越缠越紧，十香发出了痛苦的声音……已经没有犹豫的时间了！	1	{}			{}	{}					9702101-9702201-9702301	5										{}											{}											{}												{}																	{}	{}					{}	{}				
9602101	2101002	7	{}		100		休息一下	1	{}			{}	{}					9602102	1										{}											{}											{}												{}																	{}	{}					{}	{}				
9602201	2101002	7	{}		100		继续跑	1	{}			{}	{}					9602202	1										{}											{}											{}												{}																	{}	{}					{}	{}				
9602102	2101002	7	{}		100		实在跑不动了……	1	{}			{}	{}					9602103											{}											{}											{}												{}																	{}	{}					{}	{}				
9602103	2101002	7	{}		100		刚刚停下脚步没多久，小腿就被那只会说话的玩偶抱住了。	1	{}			{}	{}					9602104											{}											{}											{}							scene/bg/bg_wanoudian2.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9602104	2101002	7	{}		100	？？？	「找到你了，大哥哥~~」	1	{}			{}	{}					9602105											{}											{}											{}												{}																	{}	{}					{}	{}				
9602105	2101002	7	{}		100	1	「你……你想干什么？」	1	{}			{}	{}					9602106											{}											{}											{}												{}																	{}	{}					{}	{}				
9602106	2101002	7	{}		100		玩偶发出咯咯的笑声，然后可爱的面容突然变得狰狞。	1	{}			{}	{}					9602107											{}											{}											{}												{}																	{}	{}					{}	{}				
9602107	2101002	7	{}		100	1	「啊啊啊啊——————」	1	{}			{}	{}					9602108	2										{}											{}											{}												{}																	{}	{}					{}	{}				
9602108	2101002	7	{}		100			1	{}			{}	{}					1009602109											{}											{}											{}							scene/bg/bg_black.png	8		1.3	-1	{}																	{}	{}					{}	{}				
1009602109	2101002	7	{}		100			1	{}			{}	{}					9602110											{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9602110	2101002	7	{}		100	1	「这里是……玩偶店？」	1	{}			{}	{}					9602111											{}											{}											{}												{}																	{}	{}					{}	{}				
9602111	2101002	7	{}		100		我揉揉眼睛。	1	{}			{}	{}					9602112											{}											{}											{}												{}																	{}	{}					{}	{}				
9602112	2101002	7	{}		100		没有会说话的玩偶，没有诡异的灯光……这里确实是正常的玩具店没错。	1	{}			{}	{}					9602113											{}											{}											{}												{}																	{}	{}					{}	{}				
9602113	2101002	7	{}		100			1	{}			{}	{}					9602114											{}											{}											{}							scene/bg/bg_wanoudian1.png	12		1.5	-1	{"x":-284,"y":-160}																	{}	{}					{}	{}				
9602114	2101002	7	{}		100		心有余悸地四处打量了一下四周，十香仍在自顾自地在橱窗前挑选着玩偶。	1	{}			{}	{}					9602115											{}											{}											{}												{}																	{}	{}					{}	{}				
9602115	2101002	7	{}		100		玩偶……想起刚才的噩梦，一股寒气从心底升起。	1	{}			{}	{}					9602116											{}											{}											{}												{}																	{}	{}					{}	{}				
9602116	2101002	7	{}		100	1	「还是快点离开这个地方吧」	1	{}			{}	{}				1	9602117											{}											{}											{}												{}																	{}	{}					{}	{}				
9602117	2101002	7	{}		100		拉着十香的胳膊，我狼狈地逃离了这个奇怪的地方……	1	{}			{}	{}																{}											{}											{}												{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":530111,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":530111,"num":3}]}}				4	{}	{}				
9602202	2101002	7	{}		100		这样拼命地跑了不知多久，我双腿剧烈颤抖着，终于忍不住一屁股坐在了地上。	1	{}			{}	{}					9601208											{}											{}											{}												{}																	{}	{}					{}	{}				
9603101	2101002	7	{}		100	1	「没关系，我们一起来挑选玩偶吧」	1	{}			{}	{}					9603102		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603102	2101002	7	{}		100	四糸乃	「有……有什么我能……帮忙的么？」	1	{}			{}	{}					9603103		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603103	2101002	7	{}		100		四糸乃觉得不可思议般地歪着头看我。	1	{}			{}	{}					9603104		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603104	2101002	7	{}		100		1	1	{}			{}	{}					9603105				3							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9603105	2101002	7	{}		100		1	1	{}			{}	{}					9603106											{}											{}											{}												{}												1	1				{}	{}					{}	{}				
9603106	2101002	7	{}		100	夜刀神十香	「唔姆……总觉得玩偶都很可爱，都好想要！」	1	{}			{}	{}					9603107		10104	3		id_pose_12	1	id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}				
9603107	2101002	7	{}		100			1	{}			{}	{}					9603108		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603108	2101002	7	{}		100	四糸乃	「那……那个，十香小姐平时最喜欢什么呢？」	1	{}			{}	{}					9603109		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603109	2101002	7	{}		100	夜刀神十香	「黄豆粉面包！」	1	{}			{}	{}					9603110		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9603110	2101002	7	{}		100	1	「我就知道……」	1	{}			{}	{}					9603111		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603111	2101002	7	{}		100	四糸奈	『呐呐！四糸乃，我觉得十香小姐应该会喜欢的！』	1	{}			{}	{}					9603112		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603112	2101002	7	{}		100	四糸乃	「是这个么？十香小姐，请……请看这个。」	1	{}			{}	{}					9603113		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603113	2101002	7	{}		100	夜刀神十香	「哪里哪里？」	1	{}			{}	{}					9603114		1			id_pose_10	1	id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}				
9603114	2101002	7	{}		100	1	「这……这个……」	1	{}			{}	{}					9603115		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603115	2101002	7	{}		100		映入眼帘的是一个无比巨大的等身面包抱枕，很难想象会有谁在睡觉时抱着这样的枕头入睡啊……	1	{}			{}	{}					9603116		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603116	2101002	7	{}		100	夜刀神十香	「喔！！！」	1	{}			{}	{}					9603117		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9603117	2101002	7	{}		100		十香双眼放光地发出惊叹声。	1	{}			{}	{}					9603118		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603118	2101002	7	{}		100	四糸乃	「十香小姐……喜欢吗……」	1	{}			{}	{}					9603119		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603119	2101002	7	{}		100	夜刀神十香	「唔姆！太棒了！」	1	{}			{}	{}					9603120		1			id_pose_12	1	id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}				
9603120	2101002	7	{}		100	夜刀神十香	「睡觉的时候经常会感觉到很饿，迷迷糊糊就想抱着什么咬一口什么的！」	1	{}			{}	{}					9603121		1				1					{}											{}											{}												{}																	{}	{}					{}	{}				
9603121	2101002	7	{}		100	1	「这样么......」	1	{}			{}	{}					9603122		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603122	2101002	7	{}		100	四糸乃	「十......十香小姐喜欢就好~」	1	{}			{}	{}				1	9603123		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603123	2101002	7	{}		100		果然这就是十香啊......	1	{}			{}	{}							1									{}											{}											{}												{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":530111,"num":5},{"id":540005,"num":1}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":530111,"num":1}]}}				3	{}	{}				
9603202	2101002	7	{}		100	四糸乃	「还……还没有选好……」	1	{}			{}	{}					9603203		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603203	2101002	7	{}		100	1	「这样啊，选好了要买的玩偶记得过来找我哦。」	1	{}			{}	{}					9603204		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603204	2101002	7	{}		100	四糸乃	「好……好的！」	1	{}			{}	{}					9603205		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9603205	2101002	7	{}		100		四糸乃深鞠一躬，嗒哒嗒哒地跑开了	1	{}			{}	{}					9503206		1									{}											{}											{}												{}																	{}	{}					{}	{}				
9604101	2101002	7	{}		100		先坐着休息下	1	{}			{}	{}					1009604102	1	10104	3	3						2	{}	1.3										{}											{}							scene/bg/bg_wanoudian1.png	1		1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9604201	2101002	7	{}		100		递过橙汁	1	{}			{}	{}					9604202	1	10104	3							2	{}	1.3										{}											{}							scene/bg/bg_wanoudian1.png	1		1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}				
9604102	2101002	7	{}		100		1	1	{}			{}	{}					1009604102				2							{}											{}											{}												{}												1	1				{}	{}					{}	{}				
1009604102	2101002	7	{}		100			1	{}			{}	{}					9604103											{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{"x":0,"y":0}																	{}	{}					{}	{}				
9604103	2101002	7	{}		100		我坐在玩偶店的座椅上，慢慢调整着呼吸。	1	{}			{}	{}					9604104											{}											{}											{}												{}																	{}	{}					{}	{}				
9604104	2101002	7	{}		100		要不然，今晚就给十香做一份章鱼烧的料理吧~	1	{}			{}	{}					9604105											{}											{}											{}												{}																	{}	{}					{}	{}				
9604105	2101002	7	{}		100		也许是太过疲倦，眼睛渐渐不听使唤，慢慢地合上了……	1	{}			{}	{}					1009604106											{}											{}											{}												{}																	{}	{}					{}	{}				
1009604106	2101002	7	{}		100			1	{}			{}	{}					9601210											{}											{}											{}							scene/bg/bg_black.png	1		1.3	-1	{}																	{}	{}					{}	{}				
9604202	2101002	7	{}		100	1	「橙汁要不了多久就会没有气泡了哦~」	1	{}			{}	{}					9604203											{}											{}											{}												{}																	{}	{}					{}	{}				
