id	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务描述	任务描述2	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
20278	1	1	1	278	1310278	五河妹妹·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章1-3	1330001	10001	{"pre_task_id":20277}	9007	{"dunId":304308}	1	{500005:24,500001:1500}		16	1		1	-1
20279	1	1	1	279	1310279	五河妹妹·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章2-1	1330001	10001	{"pre_task_id":20278}	9007	{"dunId":304309}	1	{500005:24,500001:1500}		16	1		1	-1
20280	1	1	1	280	1310280	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章2-2	1330001	10001	{"pre_task_id":20279}	9007	{"dunId":305101}	1	{500005:27,500001:1800}		16	1		1	-1
20281	1	1	1	281	1310281	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章2-3	1330001	10001	{"pre_task_id":20280}	9007	{"dunId":305102}	1	{500005:27,500001:1800}		16	1		1	-1
20282	1	1	1	282	1310282	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章3-1	1330001	10001	{"pre_task_id":20281}	9007	{"dunId":305103}	1	{500005:27,500001:1800}		16	1		1	-1
20283	1	1	1	283	1310283	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章3-2	1330001	10001	{"pre_task_id":20282}	9007	{"dunId":305204}	1	{500005:27,500001:1800}		16	1		1	-1
20284	1	1	1	284	1310284	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章3-3	1330001	10001	{"pre_task_id":20283}	9007	{"dunId":305205}	1	{500005:27,500001:1800}		16	1		1	-1
20285	1	1	1	285	1310285	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章1-1	1330001	10001	{"pre_task_id":20284}	9007	{"dunId":305206}	1	{500005:27,500001:1800}		16	1		1	-1
20286	1	1	1	286	1310286	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章1-2	1330001	10001	{"pre_task_id":20285}	9007	{"dunId":305307}	1	{500005:27,500001:1800}		16	1		1	-1
20287	1	1	1	287	1310287	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章1-3	1330001	10001	{"pre_task_id":20286}	9007	{"dunId":305308}	1	{500005:27,500001:1800}		16	1		1	-1
20288	1	1	1	288	1310288	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章2-1	1330001	10001	{"pre_task_id":20287}	9007	{"dunId":305309}	1	{500005:27,500001:1800}		16	1		1	-1
20289	1	1	1	289	1310289	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章2-2	1330001	10001	{"pre_task_id":20288}	9007	{"dunId":305410}	1	{500005:27,500001:1800}		16	1		1	-1
20290	1	1	1	290	1310290	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章2-3	1330001	10001	{"pre_task_id":20289}	9007	{"dunId":305411}	1	{500005:27,500001:1800}		16	1		1	-1
20291	1	1	1	291	1310291	暴风者八舞·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章3-1	1330001	10001	{"pre_task_id":20290}	9007	{"dunId":305412}	1	{500005:27,500001:1800}		16	1		1	-1
20292	1	1	1	292	1310292	百合美九·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章3-2	1330001	10001	{"pre_task_id":20291}	9007	{"dunId":306101}	1	{500005:30,500001:2100}		16	1		1	-1
20293	1	1	1	293	1310293	百合美九·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第七章3-3	1330001	10001	{"pre_task_id":20292}	9007	{"dunId":306102}	1	{500005:30,500001:2100}		16	1		1	-1
20294	1	1	1	294	1310294	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章1-1	1330001	10001	{"pre_task_id":20293}	9007	{"dunId":306103}	1	{500005:30,500001:2100}		16	1		1	-1
20295	1	1	1	295	1310295	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章1-2	1330001	10001	{"pre_task_id":20294}	9007	{"dunId":306204}	1	{500005:30,500001:2100}		16	1		1	-1
20296	1	1	1	296	1310296	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章1-3	1330001	10001	{"pre_task_id":20295}	9007	{"dunId":306205}	1	{500005:30,500001:2100}		16	1		1	-1
20297	1	1	1	297	1310297	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章2-1	1330001	10001	{"pre_task_id":20296}	9007	{"dunId":306206}	1	{500005:30,500001:2100}		16	1		1	-1
20298	1	1	1	298	1310298	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章2-2	1330001	10001	{"pre_task_id":20297}	9007	{"dunId":306307}	1	{500005:30,500001:2100}		16	1		1	-1
20299	1	1	1	299	1310299	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章2-3	1330001	10001	{"pre_task_id":20298}	9007	{"dunId":306308}	1	{500005:30,500001:2100}		16	1		1	-1
20300	1	1	1	300	1310300	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章3-1	1330001	10001	{"pre_task_id":20299}	9007	{"dunId":306309}	1	{500005:30,500001:2100}		16	1		1	-1
20301	1	1	1	301	1310301	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章3-2	1330001	10001	{"pre_task_id":20300}	9007	{"dunId":306410}	1	{500005:30,500001:2100}		16	1		1	-1
20302	1	1	1	302	1310302	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第八章3-3	1330001	10001	{"pre_task_id":20301}	9007	{"dunId":306411}	1	{500005:30,500001:2100}		16	1		1	-1
20303	1	1	1	303	1310303	百合美九·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章1-1	1330001	10001	{"pre_task_id":20302}	9007	{"dunId":306412}	1	{500005:30,500001:2100}		16	1		1	-1
20304	1	1	1	304	1310304	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章1-2	1330001	10001	{"pre_task_id":20303}	9007	{"dunId":307101}	1	{500005:33,500001:2400}		16	1		1	-1
20305	1	1	1	305	1310305	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章1-3	1330001	10001	{"pre_task_id":20304}	9007	{"dunId":307102}	1	{500005:33,500001:2400}		16	1		1	-1
20306	1	1	1	306	1310306	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章2-1	1330001	10001	{"pre_task_id":20305}	9007	{"dunId":307103}	1	{500005:33,500001:2400}		16	1		1	-1
20307	1	1	1	307	1310307	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章2-2	1330001	10001	{"pre_task_id":20306}	9007	{"dunId":307204}	1	{500005:33,500001:2400}		16	1		1	-1
20308	1	1	1	308	1310308	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章2-3	1330001	10001	{"pre_task_id":20307}	9007	{"dunId":307205}	1	{500005:33,500001:2400}		16	1		1	-1
20309	1	1	1	309	1310309	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章3-1	1330001	10001	{"pre_task_id":20308}	9007	{"dunId":307206}	1	{500005:33,500001:2400}		16	1		1	-1
20310	1	1	1	310	1310310	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章3-2	1330001	10001	{"pre_task_id":20309}	9007	{"dunId":307307}	1	{500005:33,500001:2400}		16	1		1	-1
20311	1	1	1	311	1310311	美九真相·续°	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成噩梦关卡第九章3-3	1330001	10001	{"pre_task_id":20310}	9007	{"dunId":307308}	1	{500005:33,500001:2400}		16	1		1	-1
20312	1	1	1	312	1310312	美九真相·续°	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度f1-1副本	1330001	10001	{"pre_task_id":20311}	9007	{"dunId":307309}	1	{500005:33,500001:2400}		16	1		1	-1
20313	1	1	1	313	1310313	美九真相·续°	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度f1-2副本	1330002	10001	{"pre_task_id":20312}	9007	{"dunId":307410}	1	{500005:33,500001:2400}		16	1		1	-1
20314	1	1	1	314	1310314	美九真相·续°	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度f1-3副本	1330002	10001	{"pre_task_id":20313}	9007	{"dunId":307411}	1	{500005:33,500001:2400}		16	1		1	-1
20315	1	1	1	315	1310315	美九真相·续°	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度f1-4副本	1330002	10001	{"pre_task_id":20314}	9007	{"dunId":307412}	1	{500005:33,500001:2400}		16	1		1	-1
20316	1	1	1	316	1310316	美九真相·续°	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度f1-5副本	1330002	10001	{"pre_task_id":20315}	9007	{"dunId":307513}	1	{500005:33,500001:2400}		16	1		1	-1
20317	1	1	1	317	1310317	美九真相·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度f2-1副本	1330002	10001	{"pre_task_id":20316}	9007	{"dunId":307514}	1	{500005:33,500001:2400}		16	1		1	-1
20318	1	1	1	318	1310318	美九真相·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度f2-2副本	1330002	10001	{"pre_task_id":20317}	9007	{"dunId":307515}	1	{500005:33,500001:2400}		16	1		1	-1
25001	1	1	2	361	1310361	天宫市居民	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320361	玩家等级达到5级	1330002	10001	{"plvl":1}	11001	{"plvl":5}	5	{500004:10,500002:500}		16	1		0	-1
25002	1	1	2	362	1310362	温柔暖男	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320362	玩家等级达到10级	1330002	10001	{"plvl":5,"pre_task_id":25001}	11001	{"plvl":10}	10	{500004:10,500002:500}			1		0	-1
25003	1	1	2	363	1310363	来禅高中学生	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320363	玩家等级达到15级	1330002	10001	{"plvl":10,"pre_task_id":25002}	11001	{"plvl":15}	15	{500004:15,500002:750}			1		0	-1
25004	1	1	2	364	1310364	预备男友	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320364	玩家等级达到20级	1330002	10001	{"plvl":15,"pre_task_id":25003}	11001	{"plvl":20}	20	{500004:15,500002:750}			1		0	-1
25005	1	1	2	365	1310365	AST队员	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320365	玩家等级达到25级	1330002	10001	{"plvl":20,"pre_task_id":25004}	11001	{"plvl":25}	25	{500004:20,500002:1000}			1		0	-1
25006	1	1	2	366	1310366	正式交往	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320366	玩家等级达到30级	1330002	10001	{"plvl":25,"pre_task_id":25005}	11001	{"plvl":30}	30	{500004:20,500002:1000}			1		0	-1
25007	1	1	2	367	1310367	DEM社员	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320367	玩家等级达到35级	1330002	10001	{"plvl":30,"pre_task_id":25006}	11001	{"plvl":35}	35	{500004:30,500002:1500}			1		0	-1
25008	1	1	2	368	1310368	新婚老公	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320368	玩家等级达到40级	1330002	10001	{"plvl":35,"pre_task_id":25007}	11001	{"plvl":40}	40	{500004:30,500002:1500}			1		0	-1
25009	1	1	2	369	1310369	Ratatoskr成员	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320369	玩家等级达到45级	1330002	10001	{"plvl":40,"pre_task_id":25008}	11001	{"plvl":45}	45	{500004:40,500002:2000}			1		0	-1
25010	1	1	2	370	1310370	伉俪情深	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320370	玩家等级达到50级	1330002	10001	{"plvl":45,"pre_task_id":25009}	11001	{"plvl":50}	50	{500004:40,500002:2000}			1		0	-1
25011	1	1	2	371	1310371	人生赢家	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320371	玩家等级达到55级	1330002	10001	{"plvl":50,"pre_task_id":25010}	11001	{"plvl":55}	55	{500004:50,500002:2500}			1		0	-1
25012	1	1	2	372	1310372	后宫三千	ui/task/chapter_1.png	{"r":156,"g":185,"b":245}	{"r":88,"g":117,"b":177}		1320372	玩家等级达到60级	1330002	10001	{"plvl":55,"pre_task_id":25011}	11001	{"plvl":60}	60	{500004:50,500002:2500}			1		0	-1
30001	2	2	2	1	1310373	月卡奖励	ui/task/icon_2.png				1320373	购买月卡领取每日奖励		10001	{"plvl":1}	17005		1	{500002:60}			2		1	-1
30002	2	2	2	2	1310374	日常问候	ui/task/icon_4.png				1320374	登陆游戏		10001	{"plvl":1}	3001		1	{500004:30,500014:15}			2		1	-1
30003	2	2	2	3	1310375	热身运动	ui/task/icon_1.png				1320375	剧情副本胜利3次		10001	{"plvl":1}	9001	{"dunType":2}	3	{500005:25,500014:15}		1	2		1	-1
30004	2	2	2	4	1310376	每天赢一次	ui/task/icon_1.png				1320376	日常副本胜利1次		10001	{"plvl":1}	9001	{"dunType":3}	1	{500005:25,500014:15}		2	2		1	-1
30005	2	2	2	5	1310377	老婆升级	ui/task/icon_6.png				1320377	升级1次精灵		10001	{"plvl":1}	13004		1	{500005:10,500014:15}		6	2		1	-1
30006	2	2	2	6	1310378	欧皇驾临	ui/task/icon_4.png				1320378	进行1次召唤		10001	{"plvl":5}	17002		1	{500005:50,500014:30}		10	2		1	-1
30007	2	2	2	7	1310379	赚钱养家	ui/task/icon_3.png				1320379	领取2次打工奖励		10001	{"plvl":6}	16003		2	{500005:20,500014:20}		9	2		1	-1
30008	2	2	2	8	1310380	来一把狗粮	ui/task/icon_3.png				1320380	完成任意1次约会		10001	{"plvl":1}	12003		1	{500005:30,500014:20}		9	2		1	-1
30009	2	2	2	9	1310381	暖男	ui/task/icon_3.png				1320381	赠送5次礼物		10001	{"plvl":1}	12004		5	{500005:20,500014:10}		9	2		1	-1
30010	2	2	2	10	1310382	太鼓达人	ui/task/icon_1.png				1320382	战斗中连击达到50击以上		10001	{"plvl":1}	9004		50	{500005:20,500014:10}		1	2		1	-1
30011	2	2	2	11	1310383	强化1次质点	ui/task/icon_7.png				1320383	强化1次质点		10001	{"plvl":1}	9004		1	{500005:10,500014:15}		1	2		0	-1
40001	3	1	2	1	1310384	温柔暖男	ui/task/icon_4.png				1320384	玩家等级达到10		10001	{"plvl":1}	11001	{"plvl":10}	10	{500002:100}			2		1	-1
40002	3	1	2	2	1310385	预备男友	ui/task/icon_4.png				1320385	玩家等级达到20		10001	{"plvl":1,"pre_task_id":40001}	11001	{"plvl":20}	20	{500002:200}			2		1	-1
40003	3	1	2	3	1310386	正式交往	ui/task/icon_4.png				1320386	玩家等级达到30		10001	{"plvl":1,"pre_task_id":40002}	11001	{"plvl":30}	30	{500002:300}			2		1	-1
40004	3	1	2	4	1310387	新婚老公	ui/task/icon_4.png				1320387	玩家等级达到40		10001	{"plvl":1,"pre_task_id":40003}	11001	{"plvl":40}	40	{500002:400}			2		1	-1
40005	3	1	2	5	1310388	伉俪情深	ui/task/icon_4.png				1320388	玩家等级达到50		10001	{"plvl":1,"pre_task_id":40004}	11001	{"plvl":50}	50	{500002:500}			2		1	-1
40006	3	1	2	6	1310389	后宫三千	ui/task/icon_4.png				1320389	玩家等级达到60		10001	{"plvl":1,"pre_task_id":40005}	11001	{"plvl":60}	60	{500002:600}			2		1	-1
40007	3	1	2	7	1310390	副本萌新1	ui/task/icon_1.png				1320390	通关普通副本10次		10001	{"plvl":1}	9001	{"difficulty":1}	10	{500002:10}		1	2		1	-1
40008	3	1	2	8	1310391	副本萌新2	ui/task/icon_1.png				1320391	通关普通副本20次		10001	{"plvl":1,"pre_task_id":40007}	9001	{"difficulty":1}	20	{500002:20}		1	2	40007	1	-1
40009	3	1	2	9	1310392	副本萌新3	ui/task/icon_1.png				1320392	通关普通副本50次		10001	{"plvl":1,"pre_task_id":40008}	9001	{"difficulty":1}	50	{500002:30}		1	2	40008	1	-1
40010	3	1	2	10	1310393	副本萌新4	ui/task/icon_1.png				1320393	通关普通副本100次		10001	{"plvl":1,"pre_task_id":40009}	9001	{"difficulty":1}	100	{500002:40}		1	2	40009	1	-1
40011	3	1	2	11	1310394	副本萌新5	ui/task/icon_1.png				1320394	通关普通副本200次		10001	{"plvl":1,"pre_task_id":40010}	9001	{"difficulty":1}	200	{500002:50}		1	2	40010	1	-1
40012	3	1	2	12	1310395	副本萌新6	ui/task/icon_1.png				1320395	通关普通副本500次		10001	{"plvl":1,"pre_task_id":40011}	9001	{"difficulty":1}	500	{500002:60}		1	2	40011	1	-1
40013	3	1	2	13	1310396	副本萌新7	ui/task/icon_1.png				1320396	通关普通副本1000次		10001	{"plvl":1,"pre_task_id":40012}	9001	{"difficulty":1}	1000	{500002:70}		1	2	40012	1	-1
40014	3	1	2	14	1310397	副本萌新8	ui/task/icon_1.png				1320397	通关普通副本1500次		10001	{"plvl":1,"pre_task_id":40013}	9001	{"difficulty":1}	1500	{500002:80}		1	2	40013	1	-1
40015	3	1	2	15	1310398	副本萌新9	ui/task/icon_1.png				1320398	通关普通副本2000次		10001	{"plvl":1,"pre_task_id":40014}	9001	{"difficulty":1}	2000	{500002:90}		1	2	40014	1	-1
40016	3	1	2	16	1310399	副本萌新10	ui/task/icon_1.png				1320399	通关普通副本2500次		10001	{"plvl":1,"pre_task_id":40015}	9001	{"difficulty":1}	2500	{500002:100}		1	2	40015	1	-1
40017	3	1	2	17	1310400	副本大佬1	ui/task/icon_1.png				1320400	通关困难副本5次		10001	{"plvl":1}	9001	{"difficulty":2}	5	{500002:20}		1	2		1	-1
40018	3	1	2	18	1310401	副本大佬2	ui/task/icon_1.png				1320401	通关困难副本10次		10001	{"plvl":1,"pre_task_id":40017}	9001	{"difficulty":2}	10	{500002:40}		1	2	40017	1	-1
40019	3	1	2	19	1310402	副本大佬3	ui/task/icon_1.png				1320402	通关困难副本25次		10001	{"plvl":1,"pre_task_id":40018}	9001	{"difficulty":2}	25	{500002:60}		1	2	40018	1	-1
40020	3	1	2	20	1310403	副本大佬4	ui/task/icon_1.png				1320403	通关困难副本50次		10001	{"plvl":1,"pre_task_id":40019}	9001	{"difficulty":2}	50	{500002:80}		1	2	40019	1	-1
40021	3	1	2	21	1310404	副本大佬5	ui/task/icon_1.png				1320404	通关困难副本100次		10001	{"plvl":1,"pre_task_id":40020}	9001	{"difficulty":2}	100	{500002:100}		1	2	40020	1	-1
40022	3	1	2	22	1310405	副本大佬6	ui/task/icon_1.png				1320405	通关困难副本250次		10001	{"plvl":1,"pre_task_id":40021}	9001	{"difficulty":2}	250	{500002:120}		1	2	40021	1	-1
40023	3	1	2	23	1310406	副本大佬7	ui/task/icon_1.png				1320406	通关困难副本500次		10001	{"plvl":1,"pre_task_id":40022}	9001	{"difficulty":2}	500	{500002:140}		1	2	40022	1	-1
40024	3	1	2	24	1310407	副本大佬8	ui/task/icon_1.png				1320407	通关困难副本750次		10001	{"plvl":1,"pre_task_id":40023}	9001	{"difficulty":2}	750	{500002:160}		1	2	40023	1	-1
40025	3	1	2	25	1310408	副本大佬9	ui/task/icon_1.png				1320408	通关困难副本1000次		10001	{"plvl":1,"pre_task_id":40024}	9001	{"difficulty":2}	1000	{500002:180}		1	2	40024	1	-1
40026	3	1	2	26	1310409	副本大佬10	ui/task/icon_1.png				1320409	通关困难副本1250次		10001	{"plvl":1,"pre_task_id":40025}	9001	{"difficulty":2}	1250	{500002:200}		1	2	40025	1	-1
40027	3	1	2	27	1310410	副本巨佬1	ui/task/icon_1.png				1320410	通关噩梦副本5次		10001	{"plvl":1}	9001	{"difficulty":3}	5	{500002:30}		1	2		1	-1
40028	3	1	2	28	1310411	副本巨佬2	ui/task/icon_1.png				1320411	通关噩梦副本10次		10001	{"plvl":1,"pre_task_id":40027}	9001	{"difficulty":3}	10	{500002:60}		1	2	40027	1	-1
40029	3	1	2	29	1310412	副本巨佬3	ui/task/icon_1.png				1320412	通关噩梦副本25次		10001	{"plvl":1,"pre_task_id":40028}	9001	{"difficulty":3}	25	{500002:90}		1	2	40028	1	-1
40030	3	1	2	30	1310413	副本巨佬4	ui/task/icon_1.png				1320413	通关噩梦副本50次		10001	{"plvl":1,"pre_task_id":40029}	9001	{"difficulty":3}	50	{500002:120}		1	2	40029	1	-1
40031	3	1	2	31	1310414	副本巨佬5	ui/task/icon_1.png				1320414	通关噩梦副本100次		10001	{"plvl":1,"pre_task_id":40030}	9001	{"difficulty":3}	100	{500002:150}		1	2	40030	1	-1
40032	3	1	2	32	1310415	副本巨佬6	ui/task/icon_1.png				1320415	通关噩梦副本250次		10001	{"plvl":1,"pre_task_id":40031}	9001	{"difficulty":3}	250	{500002:180}		1	2	40031	1	-1
40033	3	1	2	33	1310416	副本巨佬7	ui/task/icon_1.png				1320416	通关噩梦副本500次		10001	{"plvl":1,"pre_task_id":40032}	9001	{"difficulty":3}	500	{500002:210}		1	2	40032	1	-1
40034	3	1	2	34	1310417	副本巨佬8	ui/task/icon_1.png				1320417	通关噩梦副本750次		10001	{"plvl":1,"pre_task_id":40033}	9001	{"difficulty":3}	750	{500002:240}		1	2	40033	1	-1
40035	3	1	2	35	1310418	副本巨佬9	ui/task/icon_1.png				1320418	通关噩梦副本1000次		10001	{"plvl":1,"pre_task_id":40034}	9001	{"difficulty":3}	1000	{500002:270}		1	2	40034	1	-1
40036	3	1	2	36	1310419	副本巨佬10	ui/task/icon_1.png				1320419	通关噩梦副本1250次		10001	{"plvl":1,"pre_task_id":40035}	9001	{"difficulty":3}	1250	{500002:300}		1	2	40035	1	-1
40037	3	1	2	37	1310420	日常划水1	ui/task/icon_1.png				1320420	通关日常副本5次		10001	{"plvl":10}	9001	{"dunType":3}	5	{500001:2000}		2	2		1	-1
40038	3	1	2	38	1310421	日常划水2	ui/task/icon_1.png				1320421	通关日常副本10次		10001	{"plvl":10,"pre_task_id":40037}	9001	{"dunType":3}	10	{500001:5000}		2	2	40037	1	-1
40039	3	1	2	39	1310422	日常划水3	ui/task/icon_1.png				1320422	通关日常副本20次		10001	{"plvl":10,"pre_task_id":40038}	9001	{"dunType":3}	20	{500001:10000}		2	2	40038	1	-1
40040	3	1	2	40	1310423	划水大佬1	ui/task/icon_1.png				1320423	通关日常副本40次		10001	{"plvl":10,"pre_task_id":40039}	9001	{"dunType":3}	40	{500001:15000}		2	2	40039	1	-1
40041	3	1	2	41	1310424	划水大佬2	ui/task/icon_1.png				1320424	通关日常副本60次		10001	{"plvl":10,"pre_task_id":40040}	9001	{"dunType":3}	60	{500001:25000}		2	2	40040	1	-1
40042	3	1	2	42	1310425	划水大佬3	ui/task/icon_1.png				1320425	通关日常副本100次		10001	{"plvl":10,"pre_task_id":40041}	9001	{"dunType":3}	100	{500001:50000}		2	2	40041	1	-1
40043	3	1	2	43	1310426	究极划水奥义1	ui/task/icon_1.png				1320426	通关日常副本150次		10001	{"plvl":10,"pre_task_id":40042}	9001	{"dunType":3}	150	{500001:80000}		2	2	40042	1	-1
40044	3	1	2	44	1310427	究极划水奥义2	ui/task/icon_1.png				1320427	通关日常副本200次		10001	{"plvl":10,"pre_task_id":40043}	9001	{"dunType":3}	200	{500001:120000}		2	2	40043	1	-1
40045	3	1	2	45	1310428	究极划水奥义3	ui/task/icon_1.png				1320428	通关日常副本300次		10001	{"plvl":10,"pre_task_id":40044}	9001	{"dunType":3}	300	{500001:160000}		2	2	40044	1	-1
40046	3	1	2	46	1310429	究极划水奥义4	ui/task/icon_1.png				1320429	通关日常副本500次		10001	{"plvl":10,"pre_task_id":40045}	9001	{"dunType":3}	500	{500001:200000}		2	2	40045	1	-1
40047	3	1	2	47	1310430	伪土豪	ui/task/icon_4.png				1320430	累计获得金币20000		10001	{"plvl":1}	2003	{"itemId":500001}	20000	{500002:10}			2		1	-1
40048	3	1	2	48	1310431	富二代	ui/task/icon_4.png				1320431	累计获得金币50000		10001	{"plvl":1,"pre_task_id":40047}	2003	{"itemId":500001}	50000	{500002:20}			2	40047	1	-1
