特效ID	技能ID	技能名字	伤害类型（1普攻、2技能1、3技能2、4出场、6大招、7觉醒）	1=物理伤害,2=冰属性,3=火属性,4=风属性,5=电属性,6=毒素,7=光属性,8=暗属性,9=精神	是否计算伤害命中	伤害比例	觉醒值获得	角色能量获得	命中停顿	命中音效（配置hitMusic中的ID）	不需要命中的触发BUFF	触发BUFF	受击角色抖动次数	屏幕震动选择（0或不填为无视是否命中都会抖动。1为命中抖动）	屏幕震动(0不抖动1三角抖动2缩放)	屏幕抖动强度	抖动次数	震屏缓动（1开启缓动）	模糊时间（毫秒）	模糊程度（0为关闭，强度范围1~100）	非倒地状态是否受击	倒地目标是否受击	可否伤害倒地目标	buffer事件触发	位移方式（1角度更替位移，2平移叠加位移）	浮空角度	X轴平移距离	浮空平移速度	命中僵直	暴击率	暴击伤害	穿透率	对普通怪伤害加成	对精英怪伤害加成	对boss怪伤害加成	对人类伤害加成	对能量怪伤害加成	对机械怪伤害加成	对精灵伤害加成	命中率	目标减伤率	目标抗暴率	目标格挡率
810021	100710	夕弦—分支	1	4	1	0.2			150	1010101			1	1	1	13	1				1	0	1	0	2		30	500															
810022	100710	夕弦—大招1	1	4	1	0.5			150	1010101			1	0	1	15	1				1	0	1	0																			
810030	100710	夕弦—大招2	1	4	1	0.5			150	1010101			1	0	2	8	2	1	1500	50	1	0	1	0	1	60		600															
810031	100710	夕弦—大招3风刃	1	4	1	0.7			250	1010101			1	0	1	18	1				1	0	1	0	1	60		800															
810032	100710	夕弦—觉醒1	1	4	1	10.5			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
810033	100710	夕弦—觉醒1	1	4	1	10.7			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
810034	100710	夕弦—觉醒1	1	4	1	10.9			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
810035	100710	夕弦—觉醒1	1	4	1	11			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
810036	100710	夕弦—觉醒1	1	4	1	11.2			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
810037	100710	夕弦—出场1	1	4	1	0.7			250	1010101			1	0	1	12	1				1	0	1	0	1	90		600															
810038	100710	夕弦—出场2	1	4	1	0.7			250	1010101			1	0	1	15	1				1	0	1	0	1	90		300															
810039	100710	夕弦—流血旋风	1	4	1	0.1			150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
810040	100710	夕弦—击杀爆炸	1	4	1	0.7			150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
