	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
601327	101010613	1	{}		100		神无月的抱怨声在公园里回荡，而我则没良心地哈哈大笑了起来。	1	{}				{}				601328													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601328	101010613	1	{}		100		令音小姐不是真的要结婚，我为什么会这么高兴呢？	1	{}				{}				601329													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601329	101010613	1	{}		100	村雨令音	“不管怎么说，恋爱就是这样五味杂陈，希望这些高级调料会让%s有所感悟。”	1	{}				{}				601330													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601330	101010613	1	{}		100	神无月恭平	“其实是摄影活动的特殊赠品！哈哈哈，还有这些食材，拿去犒劳司令吧。”	1	{}				{}				601331													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601331	101010613	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"items":{543008:1}}	{}	{}	{}
601401	101010614	1	{}		100			1	{}				{}				601402	4												{}											{}											{}							scene/bg/bg_keting.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601402	101010614	1	{}		100		想着一会儿十香就要来家里吃饭，我提前赶了回去。	1	{}				{}				601403													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601403	101010614	1	{}		100		完美的约会，一定要用丰盛的晚餐来结尾，这是和洁癖一样的强迫症思想。	1	{}				{}				601404													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601404	101010614	1	{}		100		那就放开手脚大干一场吧，让豪华餐厅拿到的食材光芒四射吧！	1	{}				{}				601405-601408													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601405	101010614	1	{"ownItem":{543007:1,543008:1}}		100		成功	1	{}				{}				601406													{}											{}											{}												{}																	{}	{}					{"items":{543007:1,543008:1}}	{"quality":{101101:-2,101102:2,101103:-1},"sign":[130]}							{}	{}	{}	{}
601406	101010614	1	{}		100	1	“这样就没问题了，真是忍不住让人食指大动啊。”	1	{}				{}				601407													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601407	101010614	1	{}		100	1	“好像看到十香面对大餐时的表情啊！”	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601408	101010614	1			100		失败	1	{}				{}				601409													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:2,101102:1,101103:1}}							{}	{}	{}	{}
601409	101010614	1	{}		100	1	“呜啊啊！怎么办，这种程度拿不出手吧！”	1	{}				{}				601410													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601410	101010614	1	{}		100	1	“让十香闹肚子的话，会造成世界大乱吧！”	1	{}				{}				601411													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601411	101010614	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601501	101010615	1	{}		100			1	{}				{}				601502	4												{}											{}											{}							scene/bg/bg_black.png			1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601502	101010615	1	{}		100		如果十香要来家里做客的话，乱糟糟的场面总要收拾一下吧？	1	{}				{}				601503													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601503	101010615	1	{}		100			1	{}				{}				601504													{}											{}											{}							scene/bg/bg_keting.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601504	101010615	1	{}		100		走进家门，我却看到了气呼呼的琴里坐在沙发上。	1	{}				{}				601505													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601505	101010615	1	{}		100		1	1	{}				{}				601506													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601506	101010615	1	{}		100	五河琴里	“笨蛋哥哥，你回来了？”	1	{}				{}				601507				10504	3		id_pose_2		id_look_10			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601507	101010615	1	{}		100	1	“是、是啊……刚才的事真是抱歉。”	1	{}				{}				601508				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601508	101010615	1	{}		100	五河琴里	“十香马上就要来家里做客了吧？用破裙子迎接贵客总觉得很不礼貌。”	1	{}				{}				601509				1			id_pose_6		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601509	101010615	1	{}		100	1	“是啊，能给哥哥一个弥补的机会吗？”	1	{}				{}				601510				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601510	101010615	1	{}		100	五河琴里	“能缝补好吗？”	1	{}				{}				601511				1			id_pose_7		id_look_1				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601511	101010615	1	{}		100	1	“不试试怎么知道？”	1	{}				{}				601512				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601512	101010615	1	{}		100		从亚衣那里拿到的彩色棉线，终于可以起作用了。	1	{}				{}				601515-601518				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601513	101010615	1	{}		100		1	1	{}				{}				601514						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601514	101010615	1	{"ownItem":{543006:1}}		100		成功	1	{}				{}				601515													{}											{}											{}												{}																	{}	{}					{"items":{543006:1}}	{"sign":[131]}							{}	{}	{}	{}
601515	101010615	1	{}		100	1	“这样就完美了，看起来和新的一样。”	1	{}				{}				601516													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601516	101010615	1	{}		100		1	1	{}				{}				601517							id_pose_9		id_look_5				{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601517	101010615	1	{}		100	五河琴里	“不愧是哥哥，哇哈哈！我漂亮的裙子回来了。”	1	{}				{}								10503	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601518	101010615	1	{}		100		失败	1	{}				{}				601519													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601519	101010615	1	{}		100	1	“哇啊！是哪里没弄对吗？”	1	{}				{}				601520													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601520	101010615	1	{}		100		1	1	{}				{}				601521													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601521	101010615	1	{}		100	五河琴里	“搞什么鬼啊！我竟然相信了笨蛋哥哥的话……”	1	{}				{}				601522				10504	3		id_pose_2		id_look_10			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601522	101010615	1	{}		100	1	“那、那个，琴里啊，不能让十香久等，我先走了！”	1	{}				{}				601523													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601523	101010615	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601601	101010616	1	{}		100			1	{}				{}				601602	4												{}											{}											{}							scene/bg/bg_senlin.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601602	101010616	1	{}		100		十香究竟在怕什么呢，会不会是怕黑？	1	{}				{}				601603													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601603	101010616	1	{}		100		因为有这样的怀疑，我一个人来到了夜晚的郊外。	1	{}				{}				601604													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601604	101010616	1	{}		100		一阵阵清脆的铃铛声在树野山间回荡着，让人汗毛倒竖。	1	{}				{}				601605													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601605	101010616	1	{}		100	1	“谁！谁在哪里！”	1	{}				{}				601606													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601606	101010616	1	{}		100			1	{}				{}				601607													{}											{}											{}							scene/bg/bg_senlin.png			1.5	-1	{"x":284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601607	101010616	1	{}		100		我看到树丛里闪过一个黑影，耳边传来了神秘少女的笑声。	1	{}				{}				601608													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601608	101010616	1	{}		100	？？？	“呵呵……真是美味啊，你可真是美味啊。”	1	{}				{}				601609													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601609	101010616	1	{}		100	1	“呜啊啊啊！——”	1	{}				{}				601610													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}							{}	{}	{}	{}
601610	101010616	1	{}		100		我吓得急忙转身逃跑，发誓晚上再也不到这里来了。	1	{}				{}				601611													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601611	101010616	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"items":{543010:1}}	{}	{}	{}
601701	101010601	1	{}		100			1	{}				{}				601702	4												{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601702	101010601	1	{}		100		可能是因为我不够努力吧，一天的调查最终以一无所获告终。	1	{}				{}				601703													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601703	101010601	1	{}		100		天色已经这么晚了，十香应该想要回去了吧？	1	{}				{}				601704													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601704	101010601	1	{}		100		关于她是从哪里来的这个问题，我还没能弄清楚。	1	{}				{}				601705													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601705	101010601	1	{}		100		所以十香的离开，应该就是指……消失吧？	1	{}				{}				601706													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601706	101010601	1	{}		100		那么这次离开后，我们什么时候再能见面呢？	1	{}				{}				100601706													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100601706	101010601	1	{}		100			1	{}				{}				601707													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
601707	101010601	1	{}		100		怀着这样的心事，我牵着十香的手，不知不觉来到了家门口。	1	{}				{}				601708													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601708	101010601	1	{}		100	1	“那个，十香……”	1	{}				{}				601709													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601709	101010601	1	{}		100		1	1	{}				{}				601710													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601710	101010601	1	{}		100	夜刀神十香	“唔？%s……有什么事吗？”	1	{}				{}				601711				10104	3		id_normal_13					2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601711	101010601	1	{}		100	1	“已经是晚上了，你就要回去了吗？”	1	{}				{}				601712				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601712	101010601	1	{}		100	夜刀神十香	“回去？%s不想和我约会了吗？”	1	{}				{}				601713				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601713	101010601	1	{}		100	1	“不，我不是那个意思啦，我是说，十香在约会完以后，会回到那个精灵所在的地方吧？”	1	{}				{}				601714				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601714	101010601	1	{}		100	夜刀神十香	“……就不能一直和%s在一起吗？”	1	{}				{}				601716				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601716	101010601	1	{}		100		十香这个眼神忧郁到让人惋惜……	1	{}				{}				100601716						3							{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100601716	101010601	1	{}		100		1	1	{}				{}				601717													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601717	101010601	1	{}		100		我做错什么了吗？	1	{}				{}				601718													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601718	101010601	1	{}		100	五河琴里	“你又在做什么，十香的恐惧值——！”	1	{}				{}				601719													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
601719	101010601	1	{}		100		其实就算琴里不从耳机里警告我，我也发现了可怕的事情。	1	{}				{}				601720													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601720	101010601	1	{}		100			1	{}				{}				601721													{}											{}											{}										1.3		{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601721	101010601	1	{}		100		十香身上的校服，已经在一阵光华笼罩后，重新变成了灵装。	1	{}				{}				601722													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601722	101010601	1	{}		100			1	{}				{}				601723													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{"x":-171,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601723	101010601	1	{}		100		1	1	{}				{}				601724													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601724	101010601	1	{}		100	夜刀神十香	“你是希望我消失对不对，因为觉得我们不是同类，对不对！”	1	{}				{}				601725				10101	3		id_pose_9		id_look_13			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601725	101010601	1	{}		100		那把巨大的剑无声出现，十香的身上爆发出杀意。	1	{}				{}				601727				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601727	101010601	1	{}		100		1	1	{}				{}				601728				1									{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601728	101010601	1	{}		100	1	“不是的！就算是十香不想再和我见面，我也愿意默默守护着你啊！”	1	{}				{}				601729				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601729	101010601	1	{}		100	夜刀神十香	“嗯？%s……是认真的吗？”	1	{}				{}				601730				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601730	101010601	1	{}		100	1	“没错……”	1	{}				{}				601731				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601731	101010601	1	{}		100		1	1	{}				{}				601732						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601732	101010601	1	{}		100			1	{}				{}				601733													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	15	{"x":170,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601733	101010601	1	{}		100		我把今天遇到的出走男孩和少女小丑的事给十香讲了一遍。	1	{}				{}				601734													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601734	101010601	1	{}		100	1	“男孩与小丑本来互不相识，最后但却能舍弃自我地互相守护。”	1	{}				{}				601735													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601735	101010601	1	{}		100	1	“我和十香不也是一样吗？就算是舍弃性命，我也会陪着你，只要……你愿意。”	1	{}				{}				601736													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601736	101010601	1	{}		100		我是发自内心地告白，所以那颗赤诚的心，让十香彻底放下了戒备。	1	{}				{}				601737													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601737	101010601	1	{}		100		十香放下了长剑，眼神从忧郁变成了惊愕，然后泛起了泪光。	1	{}				{}				601738													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601738	101010601	1	{}		100		心脏剧烈地悸动，想起今天的快乐回忆，我情不自禁的将十香紧紧抱在怀中。	1	{}				{}				601739													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601739	101010601	1	{}		100		十香身上的盔甲缓缓消失，脸上终于绽开了笑容……	1	{}				{}				601740													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601740	101010601	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}					1	1	{}	{}	{}	{}
601801	101010602	1	{}		100			1	{}				{}				601802	4												{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601802	101010602	1	{}		100		可能是因为我不够努力吧，一天的调查最终以一无所获告终。	1	{}				{}				601803													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601803	101010602	1	{}		100		天色已经这么晚了，十香应该想要回去了吧？	1	{}				{}				601804													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601804	101010602	1	{}		100		关于她是从哪里来的这个问题，我还没能弄清楚。	1	{}				{}				601805													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601805	101010602	1	{}		100		所以十香的离开，应该就是指……消失吧？	1	{}				{}				601806													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601806	101010602	1	{}		100		那么这次离开后，我们什么时候再能见面呢？	1	{}				{}				601807													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601807	101010602	1	{}		100		怀着这样的心事，我牵着十香的手，不知不觉来到了家门口。	1	{}				{}				601808													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
601808	101010602	1	{}		100	1	“那个，十香……”	1	{}				{}				601809													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601809	101010602	1	{}		100		1	1	{}				{}				601810													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601810	101010602	1	{}		100	夜刀神十香	“唔？%s……有什么事吗？”	1	{}				{}				601811				10104	3		id_normal_13					2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601811	101010602	1	{}		100	1	“已经是晚上了，你就要回去了吗？”	1	{}				{}				601812				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601812	101010602	1	{}		100	夜刀神十香	“回去？%s不想和我约会了吗？”	1	{}				{}				601813				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601813	101010602	1	{}		100	1	“不，我不是那个意思啦，我是说，十香在约会完以后，会回到那个精灵所在的地方吧？”	1	{}				{}				601814				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601814	101010602	1	{}		100	夜刀神十香	“……就不能一直和%s在一起吗？”	1	{}				{}				601816				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601816	101010602	1	{}		100		十香这个眼神忧郁到让人惋惜……	1	{}				{}				601817						3							{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601817	101010602	1	{}		100		我做错什么了吗？	1	{}				{}				100601817													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100601817	101010602	1	{}		100		1	1	{}				{}				601818													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601818	101010602	1	{}		100	五河琴里	“%s！你又在做什么，十香的恐惧值——！”	1	{}				{}				601819													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
601819	101010602	1	{}		100		其实就算琴里不从耳机里警告我，我也发现了十香的情绪很不稳定。	1	{}				{}				601820													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601820	101010602	1	{}		100		没办法，先把十香拉到家里再说。	1	{}				{}				601821													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601821	101010602	1	{}		100			1	{}				{}				601822													{}											{}											{}							scene/bg/bg_keting.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601822	101010602	1	{}		100	1	我从沙发上拿起那个软绵绵的巨大抱抱熊，脸上露出讨好的笑容。	1	{}				{}				601823													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601823	101010602	1	{}		100		“那个！我是说，十香如果要回去的话，也请让它代替我陪着你吧！”	1	{}				{}				601824													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601824	101010602	1	{}		100		1	1	{}				{}				601825													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601825	101010602	1	{}		100	夜刀神十香	“看起来好暖和啊，和%s一样！”	1	{}				{}				601826				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601826	101010602	1	{}		100		果然，女孩子都喜欢这种毛茸茸的巨大玩偶。	1	{}				{}				601827				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601827	101010602	1	{}		100	夜刀神十香	“可是，%s，我就不能留下来吗，因为我也不知道还能不能回去。”	1	{}				{}				100601827				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100601827	101010602	1	{}		100			1	{}				{}				601828						3							{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601828	101010602	1	{}		100		十香把可爱的抱抱熊搂在怀里，露出一个可怜巴巴的表情。	1	{}				{}				601829				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601829	101010602	1	{}		100	1	“当然可以！十香能留下来就太好了！”	1	{}				{}				601830				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601830	101010602	1	{}		100	夜刀神十香	“好哇！那就这么决定了！”	1	{}				{}				601831				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601831	101010602	1	{}		100			1	{}				{}				601832						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601832	101010602	1	{}		100		十香躺倒在沙发上，用双腿紧紧夹住抱抱熊，高兴地滚来滚去。	1	{}				{}				601833													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601833	101010602	1	{}		100		1	1	{}				{}				601834													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601834	101010602	1	{}		100	夜刀神十香	“好耶！要和%s一起过上同居生活了！！”	1	{}				{}				601835				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601835	101010602	1	{}		100	1	“什！——什么词语啊！”	1	{}				{}				601836													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601836	101010602	1	{}		100		就这样，十香住进了我的家里。	1	{}				{}				601837													{}											{}											{}										1.3		{}																	{}	{}					{}	{}							{}	{}	{}	{}
601837	101010602	1	{}		100		而究竟是什么东西引起了她的恐惧，则最终都没有得到准确的答案。	1	{}				{}				601838													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601838	101010602	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}					1	2	{}	{}	{}	{}
601901	101010603	1	{}		100			1	{}				{}				601902	4												{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601902	101010603	1	{}		100		可能是因为我不够努力吧，一天的调查最终以一无所获告终。	1	{}				{}				601903													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601903	101010603	1	{}		100		天色已经这么晚了，十香应该想要回去了吧？	1	{}				{}				601904													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601904	101010603	1	{}		100		关于她是从哪里来的这个问题，我还没能弄清楚。	1	{}				{}				601905													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601905	101010603	1	{}		100		所以十香的离开，应该就是指……消失吧？	1	{}				{}				601906													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601906	101010603	1	{}		100		那么这次离开后，我们什么时候再能见面呢？	1	{}				{}				601907													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601907	101010603	1	{}		100		怀着这样的心事，我牵着十香的手，不知不觉来到了家门口。	1	{}				{}				601908													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
601908	101010603	1	{}		100	1	“那个，十香……”	1	{}				{}				601909													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601909	101010603	1	{}		100		1	1	{}				{}				601910													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
601910	101010603	1	{}		100	夜刀神十香	“唔？%s……有什么事吗？”	1	{}				{}				601911				10104	3		id_normal_13					2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601911	101010603	1	{}		100	1	“已经是晚上了，你就要回去了吗？”	1	{}				{}				601912				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601912	101010603	1	{}		100	夜刀神十香	“回去？%s不想和我约会了吗？”	1	{}				{}				601913				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601913	101010603	1	{}		100	1	“不，我不是那个意思啦，我是说，十香在约会完以后，会回到那个精灵所在的地方吧？”	1	{}				{}				601914				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601914	101010603	1	{}		100	夜刀神十香	“……就不能一直和%s在一起吗？”	1	{}				{}				601916				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601916	101010603	1	{}		100		十香这个眼神忧郁到让人惋惜……	1	{}				{}				100601916						3							{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100601916	101010603	1	{}		100		1	1	{}				{}				601917													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601917	101010603	1	{}		100		我做错什么了吗？	1	{}				{}				601918													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
601918	101010603	1	{}		100	五河琴里	“%s！你又在做什么，十香的恐惧值——！”	1	{}				{}				601919													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
