	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
5002022	5002	7	{}		100	耶俱矢	但是……汝知不知道，还有一个尚未分出胜负的项目呢？	1	{}			{}	{}					5002023		1			id_normal_10					1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya11.mp3	1												{}	{}					{}	{}		{}		
5002023	5002	7	{}		100	八舞夕弦	疑问。尚未分出胜负的项目？耶俱矢的意思是？	1	{}			{}	{}					5002024		1								1	{}		1			id_normal_2					3	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru5.mp3	1												{}	{}					{}	{}		{}		
5002024	5002	7	{}		100		耶俱矢看着我，嘴角微微勾起。	1	{}			{}	{}				1	5002025-5002026-5002027		1			id_normal_3					1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002025	5002	7	{}		100		你们，想要做什么？	1	{}			{}	{}					5002028		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002026	5002	7	{}		100		可以别这样看着我吗……有点可怕啊。	1	{}			{}	{}					5002028		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002027	5002	7	{}		100		那个……有什么我能帮忙的吗？	1	{}			{}	{}					5002028		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002028	5002	7	{}		100	耶俱矢	站在那边的人类！吾现在正式任命你为裁判！	1	{}			{}	{}					5002029		1								1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya12.mp3	1												{}	{}					{}	{}		{}		
5002029	5002	7	{}		100	耶俱矢	现在吾等尚未分出胜负的就是“魅力”！怎么样？夕弦敢应战吗？	1	{}			{}	{}					5002030		1			id_normal_3					1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya13.mp3	1												{}	{}					{}	{}		{}		
5002030	5002	7	{}		100	耶俱矢	只要吾发挥出征服森罗万象的魅力，那么这场决斗的结果是显而易见的~	1	{}			{}	{}					5002031		1			id_normal_12					1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya14.mp3	1												{}	{}					{}	{}		{}		
5002031	5002	7	{}		100	八舞夕弦	否定。耶俱矢是不可能赢的，我更有魅力。	1	{}			{}	{}					5002032		1								1	{}		1			id_normal_10					3	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru6.mp3	1												{}	{}					{}	{}		{}		
5002032	5002	7	{}		100	耶俱矢	啊呀！你乱说！明明是我更有魅力！	1	{}			{}	{}					5002033		1			id_normal_5					1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya15.mp3	1												{}	{}					{}	{}		{}		
5002033	5002	7	{}		100		两人又自顾自地吵了起来，我完全听不懂她们在争论什么。	1	{}			{}	{}				1	5002034-5002035		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002034	5002	7	{}		100		哈啊……所以说你们所说的决斗是要做什么啊？	1	{}			{}	{}					5002036		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002035	5002	7	{}		100		这、这到底是什么奇怪的决斗啊？！	1	{}			{}	{}					5002036		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002036	5002	7	{}		100	耶俱矢	吾没说过吗？吾等是由原本名为“八舞”的精灵分裂而来。	1	{}			{}	{}					5002037		1			id_normal_8					1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya16.mp3	1												{}	{}					{}	{}		{}		
5002037	5002	7	{}		100	1	分裂为两个人？怎么会这样？	1	{}			{}	{}					5002038		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002038	5002	7	{}		100	八舞夕弦	说明。分裂成两人的夕弦与耶俱矢，明白了我们终将合为一体的事实。	1	{}			{}	{}					5002039		1								1	{}		1			id_normal_6		0			3	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru7.mp3	1												{}	{}					{}	{}		{}		
5002039	5002	7	{}		100	1	原来如此……最终合为一体，那便只能留下一人的人格……所以才要进行决斗吗？	1	{}			{}	{}					5002040		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002040	5002	7	{}		100	耶俱矢	来吧!汝随意称赞吾好了。	1	{}			{}	{}					5002041		1			id_normal_13		0			1	{}		1								3	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya17.mp3	1												{}	{}					{}	{}		{}		
5002041	5002	7	{}		100	八舞夕弦	请愿，来选择吧！	1	{}			{}	{}					5002042		1								1	{}		1			id_normal_12					3	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru8.mp3	1												{}	{}					{}	{}		{}		
5002042	5002	7	{}		100	1	这是……这是什么奇怪的要求啊喂！	1	{}			{}	{}					5002043		1								1	{}		1								3	{}											{}															{}																{}	{}					{}	{}		{}		
5002043	5002	7	{}		100		 	1	{}			{}	{}					5002044				3							{}				3							{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5002044	5002	7	{}		100		右耳的鼓膜受到噪音震动，接着听见了熟悉的、睡眠不足似的声音。	1	{}			{}	{}					5002045											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5002045	5002	7	{}		100	令音	啊啊——能听见么？刚刚通讯中断，现在终于接通了。你现在怎么样？	1	{}			{}	{}					5002046											{}											{}											{}															{}			modle/bust/sounds/DP_05_Reine5.mp3	1												{}	{}					{}	{}		{}		
5002046	5002	7	{}		100	1	我……啊，我遇到了名为八舞的两个精灵！	1	{}			{}	{}					5002047											{}											{}											{}				1	1										{}																{}	{}					{}	{}		{}		
5002047	5002	7	{}		100	令音	呼，原来如此。那你先把她们带回酒店吧。	1	{}			{}	{}					5002048											{}											{}											{}															{}			modle/bust/sounds/DP_05_Reine6.mp3	1												{}	{}					{}	{}		{}		
5002048	5002	7	{}		100	1	哎哎哎？带回去吗？喂、令音小姐！……挂断了……	1	{}			{}	{}					5002049											{}											{}											{}				1	1										{}																{}	{}					{}	{}		{}		
5002049	5002	7	{}		100		无奈之下，我只好一边背着昏过去的十香，一边被双子精灵围绕着，艰难地走到了酒店……	1	{}			{}	{}					5002050											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5002050	5002	7	{}		100		 	1	{}			{}	{}					5002051											{}											{}											{}										scene/bg/bg_jiudianfangjian.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5002051	5002	7	{}		100	令音	哈啊……真是了不得的场面呢。	1	{}			{}	{}					5002052											{}											{}											{}													1.75		{"x":426,"y":0}	sound/bgm/date_011.mp3	70	modle/bust/sounds/DP_05_Reine7.mp3	1												{}	{}					{}	{}		{}		
5002052	5002	7	{}		100	1	请帮帮我，不要再开玩笑了……	1	{}			{}	{}					5002053											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5002053	5002	7	{}		100		 	1	{}			{}	{}					5002054											{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5002054	5002	7	{}		100		费了一番功夫，双子精灵终于被令音带走了。	1	{}			{}	{}					5002055											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5002055	5002	7	{}		100		安顿好十香后，我回到了自己的房间。	1	{}			{}	{}					5002056											{}											{}											{}															{}						sound/dating_sound/dating_001.mp3										{}	{}					{}	{}		{}		
5002056	5002	7	{}		100		 	1	{}			{}	{}					5002057											{}											{}											{}										scene/bg/bg_jiudianfangjian.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5002057	5002	7	{}		100	1	终于能享受安静的个人时间了……	1	{}			{}	{}					5002058											{}											{}											{}													1.75		{"x":-426,"y":0}																{}	{}					{}	{}		{}		
5002058	5002	7	{}		100	1	才怪！你们两个躲在那边干嘛？我看到你们了！	1	{}			{}	{}					5002059											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5002059	5002	7	{}		100		之前被令音带走的两姐妹突然出现在我的房间内。	1	{}			{}	{}					5002060		10703	3		id_normal_12		0			5	{}	1.2	10803	3		id_normal_9		0			4	{}	1.2										{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
5002060	5002	7	{}		100	1	你们两个……不是被令音带走了吗？为什么又会出现在我面前啊？？？	1	{}			{}	{}					5002061		1								5	{}		1								4	{}											{}															{}																{}	{}					{}	{}		{}		
5002061	5002	7	{}		100	耶俱矢	来吾身边，吾就告诉汝缘由。	1	{}			{}	{}					5002062		1			id_normal_1					5	{}		1								4	{}											{}															{}			modle/bust/sounds/DP_05_Kaguya18.mp3	1												{}	{}					{}	{}		{}		
5002062	5002	7	{}		100	八舞夕弦	确保，请到这边来。	1	{}			{}	{}					5002063		1								5	{}		1			id_normal_6		0			4	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru9.mp3	1												{}	{}					{}	{}		{}		
5002063	5002	7	{}		100	1	哇啊！	1	{}			{}	{}					5002064		1			id_normal_6		0			5	{}		1								4	{}											{}															{}				1												{}	{}					{}	{}		{}		
5002064	5002	7	{}		100	1	等等、等等！我说真的！我今天已经很累了啦！	1	{}			{}	{}					5002065		1								5	{}		1								4	{}											{}															{}																{}	{}					{}	{}		{}		
5002065	5002	7	{}		100	耶俱矢	吾辈不累！汝是要违抗吾辈的意愿吗？	1	{}			{}	{}					5002066		1			id_normal_4		0			5	{}		1								4	{}											{}		0.1-7-9-5-0.024	4												{}			modle/bust/sounds/DP_05_Kaguya19.mp3	1												{}	{}					{}	{}		{}		
5002066	5002	7	{}		100	八舞夕弦	驳回，不许抵抗。	1	{}			{}	{}				1		这段约会结束	1			id_normal_6	1	0			5	{}		1			id_normal_12	1	0			4	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru10.mp3	1		sound/dating_sound/FB_eff14.mp3										{"fix":{"items":[{"id":500001,"min":165,"max":165},{"id":500005,"min":10,"max":10},{"id":500027,"min":5,"max":5},{"id":510206,"min":1,"max":1},{"id":510102,"min":1,"max":1},{"id":510152,"min":1,"max":1}]}}	{}					{}	{}		{}		
5003001	5003	7	{}		100		 	1	{}			{}	{}					5003002				3							{}				3							{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}				1								1	1			{}	{}					{}	{}		{}		
5003002	5003	7	{}		100		 	1	{}			{}	{}					5003003											{}											{}											{}										scene/bg/bg_jiudianfangjian.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5003003	5003	7	{}		100		在房间里昏睡了一天，再次醒来时，正对上十香担忧的眼眸。	1	{}			{}	{}					5003004											{}											{}											{}													1.75		{"x":-426,"y":0}	sound/bgm/date_017.mp3	70														{}	{}					{}	{}		{}		
5003004	5003	7	{}		100	夜刀神十香	终于醒了吗？要喝水吗？要吃东西吗？有没有好一些？	1	{}			{}	{}					5003005		10104	3							2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_05_Tohka10.mp3	1												{}	{}					{}	{}		{}		
5003005	5003	7	{}		100	1	十香……唔，我没事的，你别着急。	1	{}			{}	{}					5003006		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003006	5003	7	{}		100	夜刀神十香	呜！已经没事就太好了！	1	{}			{}	{}					5003007		1			id_normal_12		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka11.mp3	1												{}	{}					{}	{}		{}		
5003007	5003	7	{}		100	1	啊啊~睡得太久，感觉脑子都迟钝了，十香陪我出去走走吧。	1	{}			{}	{}					5003008		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003008	5003	7	{}		100	夜刀神十香	唔呣！那、那我们去海边吧！美衣她们早上就去海边捡贝壳了！耶俱矢和夕弦也去了海边打排球呢！	1	{}			{}	{}					5003009		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Tohka12.mp3	1												{}	{}					{}	{}		{}		
5003009	5003	7	{}		100	1	啊，好啊，一起去海边吧。	1	{}			{}	{}					5003010		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003010	5003	7	{}		100		十香……其实很想去海边玩吧，但即便如此，还是选择留在我身边呢。	1	{}			{}	{}					5003011		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003011	5003	7	{}		100		 	1	{}			{}	{}					5003012				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5003012	5003	7	{}		100		 	1	{}			{}	{}				2	5003013											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5003013	5003	7	{}		100		 	1	{}			{}	{}					5003014											{}											{}											{}										scene/cg/main_cg_4.png	3		1.3	-1	{"x":0,"y":0}							date_cg_76					1	1			{}	{}					{}	{}		{}		
5003014	5003	7	{}		100		和十香来到海边时，正好看到耶俱矢和夕弦欢呼雀跃的样子。	1	{}			{}	{}					5003015	添加CG不删改文字——date_cg_76										{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003015	5003	7	{}		100	耶俱矢	好耶！我追平比分了，看到没有，你们看到没有啊啊啊啊？！	1	{}			{}	{}					5003016											{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya20.mp3													{}	{}					{}	{}		{}		
5003016	5003	7	{}		100		之前也发现了，耶俱矢的情绪只要一激烈起来，就会忘记平时说话的语调啊……	1	{}			{}	{}					5003017											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003017	5003	7	{}		100	耶俱矢	呀嚯！！	1	{}			{}	{}					5003018											{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya21.mp3													{}	{}					{}	{}		{}		
5003018	5003	7	{}		100		耶俱矢非常自然地和夕弦击了一下掌。	1	{}			{}	{}					5003019											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003019	5003	7	{}		100	八舞夕弦	欢喜，呀嚯！！	1	{}			{}	{}					5003020											{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru11.mp3													{}	{}					{}	{}		{}		
5003020	5003	7	{}		100	耶俱矢	哎呀，刚刚那一球真是完美啊！夕弦你听到了吗？球“嗖”的一声就飞过去了。	1	{}			{}	{}					5003021											{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya22.mp3													{}	{}					{}	{}		{}		
5003021	5003	7	{}		100	八舞夕弦	肯定，刚刚那一击非常漂亮，不愧是你。	1	{}			{}	{}					5003022											{}											{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru12.mp3													{}	{}					{}	{}		{}		
5003022	5003	7	{}		100	耶俱矢	不不不，那是因为夕弦帮忙……	1	{}			{}	{}					5003023											{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya23.mp3													{}	{}					{}	{}		{}		
5003023	5003	7	{}		100	1	哈啊，看起来关系还是很不错的嘛……	1	{}			{}	{}					5003024	CG结束										{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003024	5003	7	{}		100		 	1	{}			{}	{}					5003025											{}											{}											{}										scene/bg/bg_shatan_day2.png	-1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5003025	5003	7	{}		100		话还未说完，两人突然结束庆祝，又吵了起来。	1	{}			{}	{}					5003026											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003026	5003	7	{}		100	耶俱矢	哼~别得意忘形了，下等人，被吾的脚踩到是汝的荣幸。	1	{}			{}	{}					5003027		10703	3		id_normal_4					5	{}	1.2	10803	3		id_normal_9		0			4	{}	1.3										{}															{}			modle/bust/sounds/DP_05_Kaguya24.mp3	1												{}	{}					{}	{}		{}		
5003027	5003	7	{}		100	八舞夕弦	厌恶。臭味沾到手上了，好臭。	1	{}			{}	{}					5003028		1								5	{}		1			id_normal_13		0			4	{}											{}															{}			modle/bust/sounds/DP_05_Yuzuru13.mp3	1												{}	{}					{}	{}		{}		
5003028	5003	7	{}		100	1	……所以到底是关系好还是不好啊？！	1	{}			{}	{}					5003029		1								5	{}		1								4	{}											{}															{}																{}	{}					{}	{}		{}		
5003029	5003	7	{}		100		 	1	{}			{}	{}					5003030				3							{}				3							{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5003030	5003	7	{}		100		 	1	{}			{}	{}					5003031											{}											{}											{}										scene/bg/bg_shatan_day1.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
5003031	5003	7	{}		100	令音	你已经没事了吗？	1	{}			{}	{}					5003032											{}											{}											{}				effect/dianhua3/dianhua3	dianhua								1.3		{"x":51,"y":0}	sound/bgm/date_015.mp3	70	modle/bust/sounds/DP_05_Reine8.mp3	1												{}	{}					{}	{}		{}		
5003032	5003	7	{}		100	1	啊~我已经没事了——但夕弦她们究竟是怎么回事啊？！	1	{}			{}	{}					5003033											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003033	5003	7	{}		100	1	都已经弄不清楚她们到底是什么关系了…………	1	{}			{}	{}					5003034											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003034	5003	7	{}		100	令音	我也不是很清楚，之后……	1	{}			{}	{}					5003035											{}											{}											{}				effect/dianhua3/dianhua3	dianhua										{}			modle/bust/sounds/DP_05_Reine9.mp3	1												{}	{}					{}	{}		{}		
5003035	5003	7	{}		100		谈话突然被令音中断了。	1	{}			{}	{}					5003036											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003036	5003	7	{}		100		抬头后，不意外地看到正朝着我的方向跑来的耶俱矢。	1	{}			{}	{}					5003037											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003037	5003	7	{}		100	1	耶俱矢，你不是和夕弦在打排球吗？	1	{}			{}	{}					5003038		10703	3		id_normal_12		0			2	{}	1.2										{}											{}															{}																{}	{}					{}	{}		{}		
5003038	5003	7	{}		100	耶俱矢	哼，谁要和她一起打球啊？反正我不要！	1	{}			{}	{}					5003039		1			id_normal_4		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya25.mp3	1												{}	{}					{}	{}		{}		
5003039	5003	7	{}		100	1	耶俱矢……没有再说“吾”这样的说话方式了呢。	1	{}			{}	{}					5003040		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003040	5003	7	{}		100		啊，不小心把心里话说出口了……	1	{}			{}	{}					5003041		1			id_normal_12		0				{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003041	5003	7	{}		100	耶俱矢	哈啊？不、不关你……汝的事！哼，那不过是吾作为高贵的精灵——所拥有的演技罢了，区区人类，轻易就被吾骗过了呢。	1	{}			{}	{}					5003042		1			id_normal_9		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya26.mp3	1												{}	{}					{}	{}		{}		
5003042	5003	7	{}		100	耶俱矢	呃——！不要扯这些了！就这么说好了！我是有别的事情才来找你的。	1	{}			{}	{}					5003043		1			id_normal_4		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya27.mp3	1												{}	{}					{}	{}		{}		
5003043	5003	7	{}		100	1	找我？是什么事情呢？	1	{}			{}	{}					5003044		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003044	5003	7	{}		100	耶俱矢	唔嗯，我们不是正在围绕着你而战斗吗？明天就会得出结果。	1	{}			{}	{}					5003045		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya28.mp3	1												{}	{}					{}	{}		{}		
5003045	5003	7	{}		100	1	嗯……所以呢？	1	{}			{}	{}					5003046		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003046	5003	7	{}		100	1	希望我选择耶俱矢你吗……让你以八舞之名存活下去……这样么？	1	{}			{}	{}					5003047		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003047	5003	7	{}		100	耶俱矢	拜托了！明天……请选择夕弦！	1	{}			{}	{}				1	5003048-5003049-5003050		1									{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya29.mp3	1												{}	{}					{}	{}		{}		
5003048	5003	7	{}		100		……你是认真的吗？	1	{}			{}	{}					5003051		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003049	5003	7	{}		100		难道是苦肉计？耶俱矢，你想得到同情票吗？	1	{}			{}	{}					5003052		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003050	5003	7	{}		100		为什么要……可是我也很喜欢耶俱矢啊！	1	{}			{}	{}					5003053		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003051	5003	7	{}		100	耶俱矢	当然是认真的啊！这是我最为慎重的决定，你一定、一定要选择夕弦！	1	{}			{}	{}					5003054		1			id_normal_4		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya30.mp3	1												{}	{}					{}	{}		{}		
5003052	5003	7	{}		100	耶俱矢	哼！吾这样高贵的身份才不需要汝的同情！总而言之，一定要选择夕弦！一定！	1	{}			{}	{}					5003054		1			id_normal_4		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya31.mp3	1												{}	{}					{}	{}		{}		
5003053	5003	7	{}		100	耶俱矢	不行！不行！！不可以选我，一定要选夕弦！	1	{}			{}	{}					5003054		1			id_normal_9		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya32.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
5003054	5003	7	{}		100	1	就算你突然这么说……但是……	1	{}			{}	{}					5003055		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003055	5003	7	{}		100	耶俱矢	为什么还有但是！为什么还在犹豫呢？！夕弦她，明明超可爱的啊！	1	{}			{}	{}					5003056		1			id_normal_4		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya33.mp3	1												{}	{}					{}	{}		{}		
5003056	5003	7	{}		100	耶俱矢	虽然人有点冷淡但是性格温顺，啊！胸也很大！	1	{}			{}	{}					5003057		1			id_normal_9		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya34.mp3	1												{}	{}					{}	{}		{}		
5003057	5003	7	{}		100	耶俱矢	没有理由不选择她吧？！没有人，会不喜欢她的吧？！	1	{}			{}	{}					5003058		1			id_normal_9						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya35.mp3	1												{}	{}					{}	{}		{}		
5003058	5003	7	{}		100	1	你之前说过，胜出的一方会成为八舞的主人格，输的一方会被吸收，然后消失，对吧？	1	{}			{}	{}					5003059		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003059	5003	7	{}		100	耶俱矢	是这样没错。	1	{}			{}	{}					5003060		1			id_normal_6		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya36.mp3	1												{}	{}					{}	{}		{}		
5003060	5003	7	{}		100	1	既然如此，为什么你要……	1	{}			{}	{}					5003061		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003061	5003	7	{}		100	耶俱矢	那个时候，如果不是你突然介入我们的战斗，一切都结束了。	1	{}			{}	{}					5003062		1			id_normal_12		0				{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya37.mp3	1												{}	{}					{}	{}		{}		
5003062	5003	7	{}		100	耶俱矢	我们两个展开激战，然后我倒在地上大喊一声“啊！被——打——败——了！”，事情就结束了。	1	{}			{}	{}				1	5003063-5003064-5003065		1			id_normal_9						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya38.mp3	1												{}	{}					{}	{}		{}		
5003063	5003	7	{}		100		原来都是我的错啊……	1	{}			{}	{}					5003066		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003064	5003	7	{}		100		什么！原来你是这样计划的？！	1	{}			{}	{}					5003067		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003065	5003	7	{}		100		不会吧！我还以为你们真的在决战呐！	1	{}			{}	{}					5003068		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003066	5003	7	{}		100	耶俱矢	当然是你的错！为了弥补这个错误，给我明天选择夕弦啊！	1	{}			{}	{}					5003067		1			id_normal_5						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya39.mp3	1												{}	{}					{}	{}		{}		
5003067	5003	7	{}		100	1	那你为什么提出先将我迷倒的人获胜啊？	1	{}			{}	{}					5003068		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003068	5003	7	{}		100	耶俱矢	你说那个啊，当然是因为夕弦比我……更可爱啊，这样安排，夕弦肯定能赢！	1	{}			{}	{}					5003069		1			id_normal_9						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya40.mp3	1												{}	{}					{}	{}		{}		
5003069	5003	7	{}		100	1	但是……这样一来不就更麻烦了吗？	1	{}			{}	{}					5003070		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003070	5003	7	{}		100	耶俱矢	少啰嗦！吾不是在征求汝的意见，汝明天只需要说出“夕弦更可爱，我最喜欢夕弦了”就行了。	1	{}			{}	{}					5003071		1			id_normal_5						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya41.mp3	1												{}	{}					{}	{}		{}		
5003071	5003	7	{}		100	耶俱矢	如果汝不按吾的要求做，吾就将汝的朋友，连同这个岛，一起吹飞！	1	{}			{}	{}					5003072		1			id_normal_5						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya42.mp3	1												{}	{}					{}	{}		{}		
5003072	5003	7	{}		100		没有丝毫玩笑口吻、冷冷威胁着我的耶俱矢，让我回忆起快要忘记的精灵带来的胁迫感。	1	{}			{}	{}					5003073		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003073	5003	7	{}		100	耶俱矢	那么再见了，人类。刚刚立下的乃血之盟约，要是出了什么差错，炼狱之炎会灼烧汝的骨髓！	1	{}			{}	{}					5003074		1			id_normal_3						{}											{}											{}															{}			modle/bust/sounds/DP_05_Kaguya43.mp3	1												{}	{}					{}	{}		{}		
5003074	5003	7	{}		100		 	1	{}			{}	{}					5003075				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
5003075	5003	7	{}		100		我呆呆地目送着耶俱矢离开。	1	{}			{}	{}					5003076											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003076	5003	7	{}		100		宁可自己死，也要让夕弦活下去吗？	1	{}			{}	{}					5003077											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003077	5003	7	{}		100		呆愣了半天，我拖着沉重的脚步向回走，没走几步，背后传来一个低低的声音。	1	{}			{}	{}					5003078											{}											{}											{}															{}																{}	{}					{}	{}		{}		
5003078	5003	7	{}		100		 	1	{}			{}	{}					5003079											{}											{}											{}										scene/bg/bg_shatan_day1.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
