ID	节点类型(1.条件类型节点，2.行为类型节点，3.条件节点，4.行为节点，5.根节点)	节点描述	子节点	循环时间间隔	条件节点优先级	触发条件具体类型	触发条件并且关系	触发条件参数	行为类型节点	行为权重	脚本名	是否可以打断
121003	3	判断条件：进入战斗时间				1		[0]				
121004	2	行为并且关系	121005				1					
121005	4	释放技能						[200110,50,[-160,-15,320,30]]		100	act_useSkill	
												
121006	1	条件类型节点：1S循环	121007	10000	3				121008			0
121007	3	判断条件：进入战斗时间				1		[10000]				
121008	2	行为并且关系	121009-121014				0					
121009	4	释放技能						[200120,50,[-200,-15,400,30]]		800	act_useSkill	
121014	4	释放技能						[200110,50,[-160,-15,320,30]]		200	act_useSkill	
												
121010	1	条件类型节点：1S循环	121011	0	1				121012			0
121011	3	判断条件：进入战斗时间				1		[0]				
121012	2	行为并且关系	121013				1					
121013	4	巡逻								100	act_patrol	
												
112001	5	根节点	112002-112006-112010									
112002	1	条件类型节点：1S循环	112003	1000	2				112004			0
112003	3	判断条件：进入战斗时间				1		[1000]				
112004	2	行为并且关系	112005				1					
112005	4	释放技能						[200210,200,[-500,-20,1000,40]]		100	act_useSkill	
												
112006	1	条件类型节点：1S循环	112007	12000	3				112008			0
112007	3	判断条件：进入战斗时间				1		[12000]				
112008	2	行为并且关系	112009-112014				0					
112009	4	释放技能						[200220,200,[-500,-20,1000,40]]		800	act_useSkill	
112014	4	释放技能						[200210,200,[-500,-20,1000,40]]		200	act_useSkill	
												
112010	1	条件类型节点：1S循环	112011	0	1				112012			0
112011	3	判断条件：进入战斗时间				1		[0]				
112012	2	行为并且关系	112013				1					
112013	4	巡逻								100	act_patrol	
												
												
122001	5	根节点	122002-122006									
122002	1	条件类型节点：1S循环	122003	0	2				122004			0
122003	3	判断条件：进入战斗时间				1		[0]				
122004	2	行为并且关系	122005				1					
122005	4	释放技能						[200210,200,[-500,-20,1000,40]]		100	act_useSkill	
												
122006	1	条件类型节点：1S循环	122007	12000	3				122008			0
122007	3	判断条件：进入战斗时间				1		[12000]				
122008	2	行为并且关系	122009-122014				0					
122009	4	释放技能						[200220,200,[-500,-20,1000,40]]		800	act_useSkill	
122014	4	释放技能						[200210,200,[-500,-20,1000,40]]		200	act_useSkill	
												
122010	1	条件类型节点：1S循环	122011	0	1				122012			0
122011	3	判断条件：进入战斗时间				1		[0]				
122012	2	行为并且关系	122013				1					
122013	4	巡逻								100	act_patrol	
												
												
												
215001	5	根节点	215002-215006-215010-215014									
												
215002	1	条件类型节点：1S循环	215003	1000	2				215004			0
215003	3	判断条件：进入战斗时间				1		[0]				
215004	2	行为并且关系	215005				1					
215005	4	释放技能						[241010,200,[-500,-20,1000,40]]		100	act_useSkill	
												
215006	1	条件类型节点：1S循环	215007	12000	3				215008			0
215007	3	判断条件：进入战斗时间				1		[12000]				
215008	2	行为并且关系	215009				1					
215009	4	释放技能						[241020,200,[-400,-50,800,100]]		1	act_useSkill	
215018	4	释放技能						[241040,100,[-350,-25,700,50]]		10	act_useSkill	
												
215010	1	条件类型节点：1S循环	215011	8000	4				215012			0
215011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
215012	2	行为并且关系	215013				1					
215013	4	释放技能						[241030,50,[-250,-25,500,50]]		100	act_useSkill	
												
215014	1	条件类型节点：1S循环	215015	0	1				215016			0
215015	3	判断条件：进入战斗时间				1		[0]				
215016	2	行为并且关系	215017				1					
215017	4	释放技能								100	act_patrol	
												
												
												
225001	5	根节点	225002-225006-225010									
												
225002	1	条件类型节点：1S循环	225003	0	2				225004			0
225003	3	判断条件：进入战斗时间				1		[0]				
225004	2	行为并且关系	225005				1					
225005	4	释放技能						[241010,200,[-500,-20,1000,40]]		100	act_useSkill	
												
225006	1	条件类型节点：1S循环	225007	10000	3				225008			0
225007	3	判断条件：进入战斗时间				1		[10000]				
225008	2	行为并且关系	225009				1					
225009	4	释放技能						[241020,200,[-400,-50,800,100]]		1	act_useSkill	
225018	4	释放技能						[241040,100,[-350,-25,700,50]]		10	act_useSkill	
												
225010	1	条件类型节点：1S循环	225011	8000	4				225012			0
225011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
225012	2	行为并且关系	225013				1					
225013	4	释放技能						[241030,50,[-250,-25,500,50]]		100	act_useSkill	
												
225014	1	条件类型节点：1S循环	225015	0	1				225016			0
225015	3	判断条件：进入战斗时间				1		[0]				
225016	2	行为并且关系	225017				1					
225017	4	释放技能								100	act_patrol	
												
												
												
2010101	5	根节点	2010102-2010106-2010110									
2010102	1	条件类型节点：1S循环	2010103	1000	2				2010104			0
2010103	3	判断条件：进入战斗时间				1		[0]				
2010104	2	行为并且关系	2010105				1					
2010105	4	释放技能						[220010,250,[-500,-15,1000,30]]		100	act_useSkill	
												
2010106	1	条件类型节点：1S循环	2010107	7000	3				2010108			0
2010107	3	判断条件：进入战斗时间				1		[7000]				
2010108	2	行为并且关系	2010109									
2010109	4	释放技能						[220020,200,[-500,-20,1000,40]]		100	act_useSkill	
												
2010110	1	条件类型节点：1S循环	2010111	0	1				2010112			0
2010111	3	判断条件：进入战斗时间				1		[0]				
2010112	2	行为并且关系	2010113				1					
2010113	4	巡逻								100	act_patrol	
												
2020101	5	根节点	2020102-2020106									
2020102	1	条件类型节点：1S循环	2020103	0	2				2020104			0
2020103	3	判断条件：进入战斗时间				1		[0]				
2020104	2	行为并且关系	2020105				1					
2020105	4	释放技能						[220010,250,[-500,-15,1000,30]]		100	act_useSkill	
												
2020106	1	条件类型节点：1S循环	2020107	5000	3				2020108			0
2020107	3	判断条件：进入战斗时间				1		[5000]				
2020108	2	行为并且关系	2020109									
2020109	4	释放技能						[220020,200,[-500,-20,1000,40]]		100	act_useSkill	
												
2020110	1	条件类型节点：1S循环	2020111	0	1				2020112			0
2020111	3	判断条件：进入战斗时间				1		[0]				
2020112	2	行为并且关系	2020113				1					
2020113	4	巡逻								100	act_patrol	
												
401101	5	根节点	401102-401106-401110-401115-430710-400715-400720-400725-400730-410715-440710-410720-410725-410730-411715-411720-450710-411725-411730-421715-421720-460710-421725-421730									
												
401102	1	条件类型节点：1S循环	401103	3500	1				401104			0
401103	3	判断条件：进入战斗时间				1		[7000]				
401104	2	行为并且关系	401105				1					
401105	4	释放技能						[320020]		100	act_directUseSkill	
												
401106	1	条件类型节点：1S循环	401107	3500	1				401108			0
401107	3	判断条件：进入战斗时间				1		[10000]				
401108	2	行为并且关系	401109				1					
401109	4	释放技能						[320010]		100	act_directUseSkill	
												
401110	1	条件类型节点：1S循环	401111	30000	2				401112			0
401111	3	判断条件：与敌人的距离				1		[25000]				
401112	2	行为并且关系	401113				1					
401113	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
401115	1	条件类型节点：1S循环	401116	18000	3				401117			0
401116	3	判断条件：与敌人的距离				1		[35000]				
401117	2	行为并且关系	401114				1					
401114	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
												
												
4010101	5	根节点	4010102-4010106-4010114-4010118-4010138-4010143-4010122-4010126-4010130-4010134-4010147-4010152-4010157-4010162-4010166-4010171-4010176-4010181-4010185-4010190-4010195-4010200-4010204-4010209-4010214-4010219-4010223-4010228-4010233-4010238									
												
												
												
												
												
4010102	1	条件类型节点：1S循环	4010103	8000	1				4010104			0
4010103	3	判断条件：进入战斗时间				1		[7000]				
4010104	2	行为并且关系	4010105				1					
4010105	4	释放技能						[340101]		100	act_directUseSkill	
												
4010106	1	条件类型节点：1S循环	4010107	8000	1				4010108			0
4010107	3	判断条件：进入战斗时间				1		[10000]				
4010108	2	行为并且关系	4010109				1					
4010109	4	释放技能						[340102]		100	act_directUseSkill	
												
4010114	1	条件类型节点：1S循环	4010115	20000	3				4010116			0
4010115	3	判断条件：进入战斗时间				1		[20000]				
4010116	2	行为并且关系	4010117				1					
4010117	4	释放技能						[340109]		100	act_directUseSkill	
												
4010118	1	条件类型节点：1S循环	4010119	35000	4				4010120			0
4010119	3	判断条件：进入战斗时间				1		[30000]				
4010120	2	行为并且关系	4010121				1					
4010121	4	释放技能						[340108]		100	act_directUseSkill	
												
4010122	1	条件类型节点：1S循环	4010123	300000	5				4010124			0
4010123	3	判断条件：进入战斗时间				4		[8500]				
4010124	2	行为并且关系	4010125				1					
4010125	4	释放技能						[340104]		100	act_directUseSkill	
												
4010126	1	条件类型节点：1S循环	4010127	300000	5				4010128			0
4010127	3	判断条件：进入战斗时间				4		[8500]				
4010128	2	行为并且关系	4010129				1					
4010129	4	释放技能						[340105]		100	act_directUseSkill	
												
4010130	1	条件类型节点：1S循环	4010131	300000	5				4010132			0
4010131	3	判断条件：进入战斗时间				4		[8500]				
4010132	2	行为并且关系	4010133				1					
4010133	4	释放技能						[340106]		100	act_directUseSkill	
												
4010134	1	条件类型节点：1S循环	4010135	300000	5				4010136			0
4010135	3	判断条件：进入战斗时间				4		[8500]				
4010136	2	行为并且关系	4010137				1					
4010137	4	释放技能						[340107]		100	act_directUseSkill	
												
4010138	1	条件类型节点：1S循环	4010139	6000	2				4010140			0
4010139	3	判断条件：进入战斗时间				4		[5000]				
4010140	2	行为并且关系	4010141				1					
4010141	4	释放技能						[340101]		100	act_directUseSkill	
												
4010143	1	条件类型节点：1S循环	4010144	6000	2				4010145			0
4010144	3	判断条件：进入战斗时间				4		[5000]				
4010145	2	行为并且关系	4010146				1					
4010146	4	释放技能						[340102]		100	act_directUseSkill	
												
												
4010147	1	条件类型节点：1S循环	4010148	300000	6				4010149			0
4010148	3	判断条件：进入战斗时间				4		[7000]				
4010149	2	行为并且关系	4010150				1					
4010150	4	释放技能						[340104]		100	act_directUseSkill	
												
4010152	1	条件类型节点：1S循环	4010153	300000	6				4010154			0
4010153	3	判断条件：进入战斗时间				4		[7000]				
4010154	2	行为并且关系	4010155				1					
4010155	4	释放技能						[340105]		100	act_directUseSkill	
												
4010157	1	条件类型节点：1S循环	4010158	300000	6				4010159			0
4010158	3	判断条件：进入战斗时间				4		[7000]				
4010159	2	行为并且关系	4010160				1					
4010160	4	释放技能						[340106]		100	act_directUseSkill	
												
4010162	1	条件类型节点：1S循环	4010163	300000	6				4010164			0
4010163	3	判断条件：进入战斗时间				4		[7000]				
4010164	2	行为并且关系	4010165				1					
4010165	4	释放技能						[340107]		100	act_directUseSkill	
												
												
4010166	1	条件类型节点：1S循环	4010167	300000	7				4010168			0
4010167	3	判断条件：进入战斗时间				4		[5500]				
4010168	2	行为并且关系	4010169				1					
4010169	4	释放技能						[340104]		100	act_directUseSkill	
												
4010171	1	条件类型节点：1S循环	4010172	300000	7				4010173			0
4010172	3	判断条件：进入战斗时间				4		[5500]				
4010173	2	行为并且关系	4010174				1					
4010174	4	释放技能						[340105]		100	act_directUseSkill	
												
4010176	1	条件类型节点：1S循环	4010177	300000	7				4010178			0
4010177	3	判断条件：进入战斗时间				4		[5500]				
4010178	2	行为并且关系	4010179				1					
4010179	4	释放技能						[340106]		100	act_directUseSkill	
												
4010181	1	条件类型节点：1S循环	4010182	300000	7				4010183			0
4010182	3	判断条件：进入战斗时间				4		[5500]				
4010183	2	行为并且关系	4010184				1					
4010184	4	释放技能						[340107]		100	act_directUseSkill	
												
4010185	1	条件类型节点：1S循环	4010186	300000	8				4010187			0
4010186	3	判断条件：进入战斗时间				4		[4000]				
4010187	2	行为并且关系	4010188				1					
4010188	4	释放技能						[340104]		100	act_directUseSkill	
												
4010190	1	条件类型节点：1S循环	4010191	300000	8				4010192			0
4010191	3	判断条件：进入战斗时间				4		[4000]				
4010192	2	行为并且关系	4010193				1					
4010193	4	释放技能						[340105]		100	act_directUseSkill	
												
4010195	1	条件类型节点：1S循环	4010196	300000	8				4010197			0
4010196	3	判断条件：进入战斗时间				4		[4000]				
4010197	2	行为并且关系	4010198				1					
4010198	4	释放技能						[340106]		100	act_directUseSkill	
												
4010200	1	条件类型节点：1S循环	4010201	300000	8				4010202			0
4010201	3	判断条件：进入战斗时间				4		[4000]				
4010202	2	行为并且关系	4010203				1					
4010203	4	释放技能						[340107]		100	act_directUseSkill	
												
4010204	1	条件类型节点：1S循环	4010205	300000	9				4010206			0
4010205	3	判断条件：进入战斗时间				4		[2500]				
4010206	2	行为并且关系	4010207				1					
4010207	4	释放技能						[340104]		100	act_directUseSkill	
												
4010209	1	条件类型节点：1S循环	4010210	300000	9				4010211			0
4010210	3	判断条件：进入战斗时间				4		[2500]				
4010211	2	行为并且关系	4010212				1					
4010212	4	释放技能						[340105]		100	act_directUseSkill	
												
4010214	1	条件类型节点：1S循环	4010215	300000	9				4010216			0
4010215	3	判断条件：进入战斗时间				4		[2500]				
4010216	2	行为并且关系	4010217				1					
4010217	4	释放技能						[340106]		100	act_directUseSkill	
												
4010219	1	条件类型节点：1S循环	4010220	300000	9				4010221			0
4010220	3	判断条件：进入战斗时间				4		[2500]				
4010221	2	行为并且关系	4010222				1					
4010222	4	释放技能						[340107]		100	act_directUseSkill	
												
4010223	1	条件类型节点：1S循环	4010224	300000	10				4010225			0
4010224	3	判断条件：进入战斗时间				4		[1000]				
4010225	2	行为并且关系	4010226				1					
4010226	4	释放技能						[340104]		100	act_directUseSkill	
												
4010228	1	条件类型节点：1S循环	4010229	300000	10				4010230			0
4010229	3	判断条件：进入战斗时间				4		[1000]				
4010230	2	行为并且关系	4010231				1					
4010231	4	释放技能						[340105]		100	act_directUseSkill	
												
4010233	1	条件类型节点：1S循环	4010234	300000	10				4010235			0
4010234	3	判断条件：进入战斗时间				4		[1000]				
4010235	2	行为并且关系	4010236				1					
4010236	4	释放技能						[340106]		100	act_directUseSkill	
												
4010238	1	条件类型节点：1S循环	4010239	300000	10				4010240			0
4010239	3	判断条件：进入战斗时间				4		[1000]				
4010240	2	行为并且关系	4010241				1					
4010241	4	释放技能						[340107]		100	act_directUseSkill	
