id	对应精灵id	精灵名称	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
524	110901	爱莲	20		4			7	icon/attribute/70x70/3.png	19-22	[19]	防御+9	{3:900}	{500001:15000,510215:3,510211:3,510212:3}	6
525	110901	爱莲	21		4			14	icon/attribute/70x70/2.png	19-22-23	[19]	攻击+13	{2:1300}	{500001:15000,510214:3,510213:3,510211:3}	6
526	110901	爱莲	22		4			18	icon/attribute/70x70/3.png	20-21-24-25	[20,21]	格挡率+1.5%	{504:150}	{500001:30000,510209:3,510215:3,510213:3}	6
527	110901	爱莲	23		4			21	icon/attribute/70x70/501.png	21-24	[21,24]	防御力+1.0%	{1003:100}	{500001:30000,510214:4,510212:4,510216:1}	6
528	110901	爱莲	24		4			25	icon/attribute/70x70/1.png	22-23-26	[22,23]	生命+43	{1:4300}	{500001:15000,510209:4,510216:4,510218:1}	6
529	110901	爱莲	25		4			29	icon/attribute/70x70/2.png	22-26	[22,26]	攻击+13	{2:1300}	{500001:15000,510210:4,510212:4,510217:1}	8
530	110901	爱莲	26		4			36	icon/attribute/70x70/3.png	24-25-27	[24,25]	防御+10	{3:1000}	{500001:15000,510211:4,510209:4,510219:1}	8
531	110901	爱莲	27		5			3	icon/attribute/70x70/2.png	26-28-29-32	[26]	攻击+15	{2:1500}	{500001:20000,510212:4,510215:4,510220:1}	7
532	110901	爱莲	28		5			7	icon/attribute/70x70/1.png	27-30	[27]	生命+43	{1:4300}	{500001:20000,510215:5,510213:2,510222:2}	7
533	110901	爱莲	29		5			10	icon/attribute/70x70/3.png	27-31	[27]	防御+10	{3:1000}	{500001:20000,510210:5,510223:2,510219:2}	7
534	110901	爱莲	30		5			18	icon/attribute/70x70/504.png	28-32-33	[28,32,33]	格挡率+1.5%	{504:150}	{500001:40000,510211:5,510224:2,510218:2}	7
535	110901	爱莲	31		5			21	icon/attribute/70x70/11.png	29-32-34	[29,32,34]	防御力+2.0%	{1003:200}	{500001:40000,510214:5,510221:2,510220:2}	7
536	110901	爱莲	32		5			25	icon/attribute/70x70/1.png	27-30-31-35	[27]	生命+50	{1:5000}	{500001:20000,510216:5,510223:2,510217:2}	7
537	110901	爱莲	33		5			29	icon/attribute/70x70/3.png	30-35	[30,35]	防御+12	{3:1200}	{500001:20000,510213:6,510224:3,510221:3}	7
538	110901	爱莲	34		5			32	icon/attribute/70x70/2.png	31-35	[31,35]	攻击+17	{2:1700}	{500001:20000,510221:3,510223:3,510222:3}	9
539	110901	爱莲	35		5			36	icon/attribute/70x70/2.png	32-33-34	[32,33,34]	攻击+17	{2:1700}	{500001:20000,510220:3,510220:3,510219:3}	9
540	110901	爱莲	36		6			3	icon/attribute/70x70/1.png	35-37-38	[35]	生命+50	{1:5000}	{500001:30000,510217:3,510223:3,510222:3}	8
541	110901	爱莲	37		6			13	icon/attribute/70x70/2.png	36-39-41	[36]	攻击+19	{2:1900}	{500001:30000,510219:4,510218:4,510224:4}	8
542	110901	爱莲	38		6			15	icon/attribute/70x70/3.png	36-40-42	[36]	防御+13	{3:1300}	{500001:30000,510217:4,510220:4,510227:1}	8
543	110901	爱莲	39		6			17	icon/attribute/70x70/1.png	37-43	[37,43]	伤害加成+1.0%	{501:100}	{500001:60000,510218:4,510224:4,510225:1}	8
544	110901	爱莲	40		6			22	icon/attribute/70x70/3.png	38-44	[38,44]	格挡率+2.0%	{504:200}	{500001:60000,510222:4,510224:4,510230:1}	8
545	110901	爱莲	41		6			24	icon/attribute/70x70/3.png	37-43-45	[37,45]	防御+13	{3:1300}	{500001:30000,510221:5,510223:2,510232:2}	8
546	110901	爱莲	42		6			26	icon/attribute/70x70/1.png	38-44-45	[38,45]	生命+57	{1:5700}	{500001:30000,510219:5,510226:2,510231:2}	8
547	110901	爱莲	43		6			28	icon/attribute/70x70/1.png	39-41	[39,41]	生命+65	{1:6500}	{500001:30000,510218:5,510232:2,510227:2}	8
548	110901	爱莲	44		6			33	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+19	{2:1900}	{500001:30000,510222:5,510225:2,510229:2}	10
549	110901	爱莲	45		6			36	icon/attribute/70x70/510.png	41-42-46	[41,42]	伤害加成+1.0%	{501:100}	{500001:60000,510217:6,510228:3,510226:3}	10
550	110901	爱莲	46		7			3	icon/attribute/70x70/3.png	45-47-48-49	[45]	防御+15	{3:1500}	{500001:50000,510229:3,510225:3,510231:3}	10
551	110901	爱莲	47		7			7	icon/attribute/70x70/1.png	46-50	[46]	生命+65	{1:6500}	{500001:50000,510228:3,510227:3,510230:3}	10
552	110901	爱莲	48		7			10	icon/attribute/70x70/1.png	46-51	[46]	生命+72	{1:7200}	{500001:50000,510231:4,510232:4,510226:4}	10
553	110901	爱莲	49		7			14	icon/attribute/70x70/2.png	46-52-53	[46]	攻击+19	{2:1900}	{500001:50000,510229:4,510226:4,510239:3}	10
554	110901	爱莲	50		7			17	icon/attribute/70x70/3.png	47-52-54	[47,52]	防御+15	{3:1500}	{500001:50000,510230:4,510228:4,510238:3}	10
555	110901	爱莲	51		7			22	icon/attribute/70x70/3.png	48-53-55	[48,53]	防御+15	{3:1500}	{500001:50000,510228:5,510231:5,510236:4}	10
556	110901	爱莲	52		7			24	icon/attribute/70x70/501.png	49-50-54-56	[49,50,56]	格挡率+2.0%	{504:200}	{500001:100000,510225:5,510240:4,510235:4}	10
557	110901	爱莲	53		7			26	icon/attribute/70x70/504.png	49-51-55-56	[49,51,56]	伤害加成+2.0%	{501:200}	{500001:100000,510227:5,510237:4,510234:4}	10
558	110901	爱莲	54		7			28	icon/attribute/70x70/1.png	50-52	[50,52]	生命+72	{1:7200}	{500001:500000,510230:6,510233:5,510239:5}	12
559	110901	爱莲	55		7			33	icon/attribute/70x70/1.png	51-53	[51,53]	生命+72	{1:7200}	{500001:500000,510238:5,510234:5,510233:5}	12
560	110901	爱莲	56		7			36	icon/attribute/70x70/501.png	52-53	[52,53]	防御力+3.0%	{1003:300}	{500001:100000,510240:5,510235:5,510237:5}	12
561	111001	美久	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/2.png	2-3		攻击+7	{2:700}	{500001:2000,510202:1,510203:1,510208:1}	4
562	111001	美久	2		1			13	icon/attribute/70x70/1.png	1-4	[1]	生命+31	{1:3100}	{500001:2000,510204:2,510206:2,510201:2}	4
563	111001	美久	3		1			15	icon/attribute/70x70/3.png	1-4	[1]	防御+5	{3:500}	{500001:2000,510204:2,510201:2,510208:2}	4
564	111001	美久	4		1			25	icon/attribute/70x70/502.png	2-3	[2,3]	暴伤减免+1.5%	{510:150}	{500001:4000,510208:2,510203:2,510204:2}	4
565	111001	美久	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+7	{2:700}	{500001:2000,510207:2,510201:2,510203:2}	4
566	111001	美久	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{500001:5000,510202:3,510201:3,510205:3}	5
567	111001	美久	7		2			7	icon/attribute/70x70/2.png	6-9	[6]	攻击+9	{2:900}	{500001:5000,510205:3,510202:3,510216:1}	5
568	111001	美久	8		2			10	icon/attribute/70x70/511.png	6-9	[6]	生命值+0.5%	{1001:50}	{500001:10000,510205:3,510206:3,510209:1}	5
569	111001	美久	9		2			14	icon/attribute/70x70/1.png	7-8	[7,8]	生命+31	{1:3100}	{500001:5000,510203:3,510205:3,510210:1}	5
570	111001	美久	10		2			25	icon/attribute/70x70/2.png	9-11	[9]	攻击+9	{2:900}	{500001:5000,510207:3,510204:3,510216:1}	6
571	111001	美久	11		2			36	icon/attribute/70x70/3.png	10-12	[10]	防御+6	{3:600}	{500001:5000,510207:3,510208:3,510210:1}	6
572	111001	美久	12		3			3	icon/attribute/70x70/3.png	11-13-14-17	[11]	防御+6	{3:600}	{500001:10000,510202:4,510207:4,510210:2}	6
573	111001	美久	13		3			7	icon/attribute/70x70/1.png	12-15	[12]	生命+38	{1:3800}	{500001:10000,510206:4,510209:2,510215:2}	6
574	111001	美久	14		3			10	icon/attribute/70x70/2.png	12-16	[12]	攻击+11	{2:1100}	{500001:10000,510202:4,510214:2,510216:2}	6
575	111001	美久	15		3			18	icon/attribute/70x70/11.png	13-17	[13,17]	穿透率+0.5%	{503:50}	{500001:20000,510207:4,510209:2,510211:2}	6
576	111001	美久	16		3			21	icon/attribute/70x70/512.png	14-17	[14,17]	穿透率+1.0%	{503:100}	{500001:20000,510204:4,510215:2,510211:2}	6
577	111001	美久	17		3			25	icon/attribute/70x70/2.png	12-15-16-18	[12]	攻击+11	{2:1100}	{500001:10000,510206:4,510216:2,510209:2}	7
578	111001	美久	18		3			36	icon/attribute/70x70/1.png	17-19	[17,19]	生命+38	{1:3800}	{500001:10000,510201:3,510216:3,510212:3}	7
579	111001	美久	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+8	{3:800}	{500001:15000,510213:3,510209:3,510215:3}	6
580	111001	美久	20		4			7	icon/attribute/70x70/2.png	19-22-24	[19]	攻击+13	{2:1300}	{500001:15000,510210:3,510214:3,510211:3}	6
581	111001	美久	21		4			10	icon/attribute/70x70/2.png	19-22-25	[19]	攻击+13	{2:1300}	{500001:15000,510209:3,510212:3,510214:3}	6
582	111001	美久	22		4			14	icon/attribute/70x70/1.png	20-21-23	[20,21]	生命+46	{1:4600}	{500001:15000,510214:3,510211:3,510213:3}	6
583	111001	美久	23		4			25	icon/attribute/70x70/3.png	22-24-25	[22,24,25]	防御+8	{3:800}	{500001:15000,510212:4,510215:4,510216:1}	6
584	111001	美久	24		4			29	icon/attribute/70x70/514.png	20-23-26	[20,23,26]	暴伤减免+1.5%	{510:150}	{500001:30000,510213:4,510215:4,510218:1}	6
585	111001	美久	25		4			32	icon/attribute/70x70/501.png	21-23-26	[21,23,26]	生命值+1.0%	{1001:100}	{500001:30000,510211:4,510212:4,510219:1}	8
586	111001	美久	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+46	{1:4600}	{500001:15000,510214:4,510211:4,510217:1}	8
587	111001	美久	27		5			3	icon/attribute/70x70/3.png	26-28-29	[26]	防御+9	{3:900}	{500001:20000,510213:4,510215:4,510218:1}	7
588	111001	美久	28		5			7	icon/attribute/70x70/1.png	27-30-33	[27]	生命+54	{1:5400}	{500001:20000,510210:5,510212:2,510224:2}	7
589	111001	美久	29		5			10	icon/attribute/70x70/2.png	27-31	[27]	攻击+14	{2:1400}	{500001:20000,510212:5,510218:2,510219:2}	7
590	111001	美久	30		5			14	icon/attribute/70x70/502.png	28-31	[28,31]	暴伤减免+2.0%	{510:200}	{500001:40000,510213:5,510217:2,510222:2}	7
591	111001	美久	31		5			21	icon/attribute/70x70/1.png	29-30-32-34	[29,30,32,34]	生命+54	{1:5400}	{500001:20000,510213:5,510222:2,510223:2}	7
592	111001	美久	32		5			25	icon/attribute/70x70/511.png	31-33	[31,33]	穿透率+1.5%	{503:150}	{500001:40000,510214:5,510223:2,510217:2}	7
593	111001	美久	33		5			29	icon/attribute/70x70/2.png	28-32-35	[28,32,35]	攻击+16	{2:1600}	{500001:20000,510210:6,510219:3,510223:3}	7
594	111001	美久	34		5			32	icon/attribute/70x70/3.png	31-35	[31,35]	防御+9	{3:900}	{500001:20000,510221:3,510223:3,510222:3}	9
595	111001	美久	35		5			36	icon/attribute/70x70/3.png	33-34-36	[33,34]	防御+10	{3:1000}	{500001:20000,510218:3,510224:3,510220:3}	9
596	111001	美久	36		6			3	icon/attribute/70x70/1.png	35-38-39	[35]	生命+61	{1:6100}	{500001:30000,510217:3,510220:3,510221:3}	8
597	111001	美久	37		6			7	icon/attribute/70x70/508.png	39	[39]	暴伤减免+2.0%	{510:200}	{500001:60000,510221:4,510218:4,510222:4}	8
598	111001	美久	38		6			10	icon/attribute/70x70/2.png	36-41	[36]	攻击+16	{2:1600}	{500001:30000,510223:4,510224:4,510226:1}	8
599	111001	美久	39		6			14	icon/attribute/70x70/3.png	36-37-41	[36]	防御+12	{3:1200}	{500001:30000,510222:4,510217:4,510232:1}	8
600	111001	美久	40		6			18	icon/attribute/70x70/512.png	42-43	[42]	生命值+1.5%	{1001:150}	{500001:60000,510220:4,510219:4,510230:1}	8
601	111001	美久	41		6			21	icon/attribute/70x70/1.png	38-39-42	[38,39]	生命+69	{1:6900}	{500001:30000,510219:5,510221:2,510228:2}	8
602	111001	美久	42		6			25	icon/attribute/70x70/1.png	40-41-44-45	[41]	生命+69	{1:6900}	{500001:30000,510221:5,510232:2,510227:2}	8
603	111001	美久	43		6			29	icon/attribute/70x70/2.png	40-45	[40,45]	攻击+18	{2:1800}	{500001:30000,510220:5,510226:2,510230:2}	8
604	111001	美久	44		6			32	icon/attribute/70x70/3.png	42	[42]	暴伤减免+2.0%	{510:200}	{500001:60000,510220:5,510232:2,510231:2}	10
605	111001	美久	45		6			36	icon/attribute/70x70/3.png	42-43-46	[42]	防御+12	{3:1200}	{500001:30000,510224:6,510228:3,510227:3}	10
606	111001	美久	46		7			3	icon/attribute/70x70/2.png	45-47	[45]	攻击+18	{2:1800}	{500001:50000,510230:3,510231:3,510229:3}	10
607	111001	美久	47		7			7	icon/attribute/70x70/3.png	46-50	[46]	防御+13	{3:1300}	{500001:50000,510227:3,510225:3,510231:3}	10
608	111001	美久	48		7			10	icon/attribute/70x70/1.png	49-51	[49,51]	生命+77	{1:7700}	{500001:50000,510231:4,510232:4,510225:4}	10
609	111001	美久	49		7			14	icon/attribute/70x70/1.png	48-50	[50]	生命+77	{1:7700}	{500001:50000,510226:4,510228:4,510239:3}	10
610	111001	美久	50		7			18	icon/attribute/70x70/2.png	47-49-52-53	[47]	攻击+18	{2:1800}	{500001:50000,510227:4,510229:4,510240:3}	10
611	111001	美久	51		7			21	icon/attribute/70x70/3.png	48-52-54	[48,52]	防御+13	{3:1300}	{500001:50000,510229:5,510225:5,510239:4}	10
612	111001	美久	52		7			25	icon/attribute/70x70/514.png	50-51-55-56	[50]	生命值+2.0%	{1001:200}	{500001:100000,510226:5,510238:4,510237:4}	10
613	111001	美久	53		7			28	icon/attribute/70x70/1.png	50-55	[50]	生命+77	{1:7700}	{500001:50000,510229:5,510240:4,510236:4}	10
614	111001	美久	54		7			33	icon/attribute/70x70/3.png	51-56	[51,56]	防御+13	{3:1300}	{500001:50000,510225:6,510235:5,510235:5}	12
615	111001	美久	55		7			35	icon/attribute/70x70/11.png	52-53	[52,53]	暴伤减免+3.0%	{510:300}	{500001:100000,510238:5,510237:5,510234:5}	12
616	111001	美久	56		7			37	icon/attribute/70x70/515.png	52-54	[52,54]	穿透率+2.0%	{503:200}	{500001:100000,510233:5,510236:5,510237:5}	12
