 	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	所属关卡组ID(此字段服务器用)	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	撞击飞行关卡预览视频文件（填video表中ID）	飞行关入场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP） 	飞行关出场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP）	飞行关入场距离	预览视频第一帧图片路径	背景音乐	显示顺序	难度	地图摄像机修正Z	战斗角色大小比例	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，31-击杀怪物数量达到x，32-积分达到x)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	日常副本奖励(根据每一次通关获得的星级发放对应奖励，1星奖励ID-2星奖励ID-3星奖励ID)	是否播放关卡开场默认动作	是否播放胜利动作	词缀怪物总数	词缀怪物出现区间
202311	第2章困难3-1	1	1	102314-202210					[29,[5,6]]	2003	2001				202101-202102-202103-202104	2_tiantai	2111						sound/battle_sound/battle_003.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/louding_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-4-7	25-70-3	300052-300053-300055	510213-510102-510152	510213-510105-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220211	60120211		1	1		
202312	第2章困难3-2	1	1	102314-202311					[44,[4]]	2003	2001				202201-202202-202203-202204	2_xuexiaocaochang	2112						sound/battle_sound/battle_004.mp3	2	2		0.6		300	300302			icon/fuben/levelIcon/Dungeon/xiaomenwai_3.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				循环	1	[[2]]	300801	300816	2-3-4	25-100-70	300052-300053-300056	510214-510102-510152	510214-220024-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220212	60120212		1	1		
202313	第2章困难3-3	1	1	102314-202312					[20,[3]]	2003	2001				202301-202302-202303-202304	2_hedao	2113						sound/battle_sound/battle_001.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/hebianjiedao_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-3-5	25-100-2	300052-300054-300057	510215-510102-510152	510215-570002-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220213	60120213		1	1		
202314	第2章困难3-4	1	1	102314-202313					[48,[4]]	2003	2001				202401-202402-202403-202404	2_bingfengjiedao	2114						sound/battle_sound/battle_002.mp3	4	2		0.6		300	300304			icon/fuben/levelIcon/Dungeon/bingfengjiedao_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				常规+定时+常规	1	[[2]]	300801	300816	2-3-6	25-100-6	300052-300056-300061	510216-510102-510152	510216-510221-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220214	60120214		1	1		
202315	第2章困难3-5	1	1	102314-202314					[24,[3]]	2003	2001				202501-202502-202503-202504	2_tiantai	2115						sound/battle_sound/battle_003.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/louding_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8005	3	300905		1	[[2]]	300801	300816	2-4-7	25-70-3	300052-300053-300054	510306-510102-510152	510209-510306-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220215	60120215		1	1		
																																																																	
203101	第3章困难1-1	1	1	103316-202315					[29,[5,6]]	3001	3001				311011-311012-311013-311014	4_pohuaixiaowai	3101						sound/battle_sound/battle_001.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xiaomenwai_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-3-4	30-90-60	300052-300053-300056	510210-510102-510152	510210-510105-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220301	60120301		1	1		
203102	第3章困难1-2	1	1	103316-203101					[18,[3]]	3001	3001				311015-311016-311017-311018-311017	4_ditie	3102						sound/battle_sound/battle_002.mp3	2	2		0.6		300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					7	[[5]]	300809	300876	2-3-5	30-90-2	300052-300054-300056	510211-510102-510152	510211-220025-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220302	60120302		1	1		
203103	第3章困难1-3	1	1	103316-203102					[46,[4]]	3001	3001				311019-311020-311021-311022	4_jiaoshi	3103						sound/battle_sound/battle_004.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+定时	1	[[2]]	300801	300816	2-3-6	30-90-5	300052-300054-300055	510212-510102-510152	510212-570002-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220303	60120303		1	1		
203104	第3章困难1-4	1	1	103316-203103					[22,[3]]	3001	3001				311023-311024-311025-311026	4_jiaowai02	3104						sound/battle_sound/battle_002.mp3	4	2		0.6		150	300304			icon/fuben/levelIcon/Dungeon/jiaowai_4.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				常规+极限	5	[[16]]	300803	300818	2-4-6	30-60-5	300052-300055-300056	510213-510102-510152	510213-510222-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220304	60120304		1	1		
203105	第3章困难1-5	1	1	103316-203104					[50,[4]]	3001	3001				311027-311028-311029-311030	4_zhengchangxiaowai	3105						sound/battle_sound/battle_003.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/xiaomenwai_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png	8004	1	300904		1	[[2]]	300801	300816	2-4-5	30-60-2	300052-300056-300057	510309-510102-510152	510214-510309-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220305	60120305		1	1		
203206	第3章困难2-1	1	1	103316-203105					[29,[1,2]]	3002	3001				311031-311032-311033-311034	4_pohuaixiaowai	3106						sound/battle_sound/battle_004.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-5-6	30-2-5	300052-300054-300056	510215-510102-510152	510215-510105-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220306	60120306		1	1		
203207	第3章困难2-2	1	1	103316-203206					[44,[4]]	3002	3001				311035-311036-311037-311038-311037	4_putongjiedao	3107						sound/battle_sound/battle_002.mp3	2	2		0.6		60	300302			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					2	[[60]]	300802	300817	2-6-7	30-5-2	300052-300053-300057	510216-510102-510152	510216-220026-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220307	60120307		1	1		
203208	第3章困难2-3	1	1	103316-203207					[20,[3]]	3002	3001				311039-311040-311041-311042	4_pohuaixiaowai	3108						sound/battle_sound/battle_001.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限	1	[[2]]	300801	300816	2-4-6	30-60-5	300052-300054-300055	510209-510102-510152	510209-570002-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220308	60120308		1	1		
203209	第3章困难2-4	1	1	103316-203208					[48,[4]]	3002	3001				311043-311044-311045-311046-311045	4_ditie	3109						sound/battle_sound/battle_002.mp3	4	2		0.6		300	300304			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8007	3	300907	常规+循环	7	[[5]]	300809	300876	2-3-7	30-90-2	300052-300055-300056	510210-510102-510152	510210-510223-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220309	60120309		1	1		
203210	第3章困难2-5	1	1	103316-203209					[24,[3]]	3002	3001				311047-311048-311049-311050	4_jiaoshi	3110						sound/battle_sound/battle_003.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-4-5	30-60-2	300052-300056-300057	510309-510102-510152	510211-510309-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220310	60120310		1	1		
203311	第3章困难3-1	1	1	103316-203210					[29,[5,6]]	3003	3001				311051-311052-311053-311054	4_jiaoshi	3111						sound/battle_sound/battle_004.mp3	1	2		0.6		300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-5-6	30-2-5	300052-300054-300056	510212-510102-510152	510212-510105-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220311	60120311		1	1		
203312	第3章困难3-2	1	1	103316-203311					[18,[3]]	3003	3001				311055-311056-311057-311058	4_jiaowai02	3112						sound/battle_sound/battle_002.mp3	2	2		0.6		150				icon/fuben/levelIcon/Dungeon/jiaowai_4.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					5	[[16]]	300803	300818	2-6-7	30-5-2	300052-300054-300057	510213-510102-510152	510213-220027-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220312	60120312		1	1		
203313	第3章困难3-3	1	1	103316-203312					[46,[4]]	3003	3001				311059-311060-311061-311062	4_pohuaixiaowai	3113						sound/battle_sound/battle_001.mp3	3	2		0.6		300				icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-4-6	30-60-5	300052-300055-300057	510214-510102-510152	510214-570002-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220313	60120313		1	1		
203314	第3章困难3-4	1	1	103316-203313					[22,[3]]	3003	3001				311063-311064-311065-311066-311065	4_putongjiedao	3114						sound/battle_sound/battle_002.mp3	4	2		0.6		60				icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					2	[[60]]	300802	300817	2-4-7	30-60-2	300052-300056-300061	510215-510102-510152	510215-510224-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220314	60120314		1	1		
203315	第3章困难3-5	1	1	103316-203314					[37,[1,2]]	3003	3001				311067-311068-311069-311070	4_jiaoshi	3115						sound/battle_sound/battle_004.mp3	5	2		0.6		300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-5-7	30-2-2	300052-300053-300054	510307-510102-510152	510216-510307-510102-510152-220009	1	{500004:16}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220315	60120315		1	1		
																																																																	
204101	第4章困难1-1	1	1	104315-203315					[29,[1,2]]	4001	4001				411011-411012-411013-411014	4_pohuaixiaowai	4101						sound/battle_sound/battle_001.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				极限	1	[[2]]	300801	300816	2-3-4	40-80-50	300052-300053-300056	510209-510102-510152	510209-510106-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220401	60120401		1	1		
204102	第4章困难1-2 （3波，15只）	1	1	104315-204101					[44,[4]]	4001	4001				411015-411016-411018	4_putongjiedao	4102						sound/battle_sound/battle_002.mp3	2	2		0.6		150	300302			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					5	[[15]]	300803	300818	2-5-7	40-1-2	300052-300054-300056	510210-510102-510152	510210-220028-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220402	60120402		1	1		
204103	第4章困难1-3	1	1	104315-204102					[20,[3]]	4001	4001				411019-411020-411021-411022-411021	4_jiaowai_01	4103						sound/battle_sound/battle_004.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png	8006	3	300906		1	[[2]]	300801	300816	2-3-6	40-80-4	300052-300054-300055	510211-510102-510152	510211-570002-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220403	60120403		1	1		
204104	第4章困难1-4	1	1	104315-204103					[48,[4]]	4001	4001				411023-411024-411025-411026-411025	4_pohuaixiaowai	4104						sound/battle_sound/battle_002.mp3	4	2		0.6		60	300304			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				循环	2	[[60]]	300802	300817	2-4-6	40-50-4	300052-300055-300056	510212-510102-510152	510212-510217-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220404	60120404		1	1		
204105	第4章困难1-5	1	1	104315-204104					[37,[1,2]]	4001	4001				411027-411028-411029-411030	4_xinshoujiedao	4105						sound/battle_sound/battle_003.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-4-5	40-50-1	300052-300056-300057	510304-510102-510152	510213-510304-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220405	60120405		1	1		
204206	第4章困难2-1	1	1	104315-204105					[29,[5,6]]	4002	4001				411031-411032-411033-411034-411033	4_xinshoujiedao	4106						sound/battle_sound/battle_004.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[2]]	300801	300816	2-5-6	40-1-4	300052-300054-300055	510214-510102-510152	510214-510106-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220406	60120406		1	1		
204207	第4章困难2-2 （3波，15只）	1	1	104315-204206					[18,[3]]	4002	4001				411036-411037-411038	4_ditie	4107						sound/battle_sound/battle_002.mp3	2	2		0.6		150	300302			icon/fuben/levelIcon/Dungeon/pohuaijiedao_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png	8009	1	300909	常规+极限	5	[[15]]	300803	300818	2-6-7	40-4-2	300052-300055-300056	510215-510102-510152	510215-220029-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220407	60120407		1	1		
204208	第4章困难2-3	1	1	104315-204207					[46,[4]]	4002	4001				411039-411040-411041-411042-411041	4_pohuaixiaowai	4108						sound/battle_sound/battle_001.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				定时	1	[[2]]	300801	300816	2-4-5	40-50-1	300052-300056-300057	510216-510102-510152	510216-570002-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220408	60120408		1	1		
204209	第4章困难2-4 （3波，15只）	1	1	104315-204208					[22,[3]]	4002	4001				411044-411045-411046	4_putongjiedao	4109						sound/battle_sound/battle_002.mp3	4	2		0.6		150	300304			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8003	3	300903		5	[[15]]	300803	300818	2-5-6	40-1-4	300052-300054-300056	510209-510102-510152	510209-510218-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220409	60120409		1	1		
204210	第4章困难2-5	1	1	104315-204209					[37,[1,2]]	4002	4001				411047-411048-411049-411050-411049	4_jiaowai_01	4110						sound/battle_sound/battle_002.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[2]]	300801	300816	2-6-7	40-4-2	300052-300054-300057	510304-510102-510152	510210-510304-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220410	60120410		1	1		
204311	第4章困难3-1	1	1	104315-204210					[29,[5,6]]	4003	4001				411051-411052-411053-411054	4_xinshoujiedao	4111						sound/battle_sound/battle_003.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+极限	1	[[2]]	300801	300816	2-4-6	40-50-4	300052-300054-300056	510211-510102-510152	510211-510106-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220411	60120411		1	1		
204312	第4章困难3-2	1	1	104315-204311					[18,[3]]	4003	4001				411055-411056-411057-411058-411057	4_ditie	4112						sound/battle_sound/battle_004.mp3	2	2		0.6		300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					7	[[5]]	300809	300876	2-4-7	40-50-2	300052-300054-300055	510212-510102-510152	510212-220020-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220412	60120412		1	1		
204313	第4章困难3-3	1	1	104315-204312					[46,[4]]	4003	4001				411059-411060-411061-411062-411061	4_jiaowai_01	4113						sound/battle_sound/battle_002.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				循环(怪物易进攻)	1	[[2]]	300801	300816	2-4-6	40-80-50	300052-300055-300057	510213-510102-510152	510213-570002-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220413	60120413		1	1		
204314	第4章困难3-4	1	1	104315-204313					[22,[3]]	4003	4001				411063-411064-411065-411066-411065	4_pohuaixiaowai	4114						sound/battle_sound/battle_001.mp3	4	2		0.6		60	300304			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png	8001	1	300901		2	[[60]]	300802	300817	2-4-5	40-50-1	300052-300056-300061	510214-510102-510152	510214-510219-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220414	60120414		1	1		
204315	第4章困难3-5	1	1	104315-204314					[50,[4]]	4003	4001				411067-411068-411069-411070-411069	4_xinshoujiedao	4115						sound/battle_sound/battle_002.mp3	5	2		0.6		120	300305			icon/fuben/levelIcon/Dungeon/xinshouguanqia_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[2]]	300801	300816	2-5-7	40-1-2	300052-300053-300054	510308-510102-510152	510215-510308-510102-510152-220009	1	{500004:18}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220415	60120415		1	1		
																																																																	
205101	第5章困难1-1	1	1	105421-204315					[29,[5,6]]	5001	5001				511011-511012-511013-511014	4_shatan_01	5101						sound/battle_sound/battle_001.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/haibianbaitian_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-3-4	50-70-40	300052-300053-300056	510216-510102-510152	510216-510106-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220501	60120501		1	1		
205102	第5章困难1-2	1	1	105421-205101					[18,[3]]	5001	5001				511015-511016-511017-511018-511017	4_shatanyewan	5102						sound/battle_sound/battle_002.mp3	2	2		0.6		300	300302			icon/fuben/levelIcon/Dungeon/haibianyewan_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8008	1	300908	常规+定时+常规	7	[[5]]	300809	300876	2-3-5	50-70-1	300052-300054-300057	510209-510102-510152	510209-220021-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220502	60120502		1	1		
205103	第5章困难1-3	1	1	105421-205102					[46,[4]]	5001	5001				511019-511020-511021-511022	4_shatanyewan	5103						sound/battle_sound/battle_004.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/haibianyewan_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-3-6	50-70-5	300052-300054-300055	510210-510102-510152	510210-570002-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220503	60120503		1	1		
205104	第5章困难1-4	1	1	105421-205103					[22,[3]]	5001	5001				511023-511024-511025-511026	4_youleyuan	5104						sound/battle_sound/battle_002.mp3	4	2		0.6		60	300304			icon/fuben/levelIcon/Dungeon/youleyuan_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限	2	[[60]]	300802	300817	2-4-7	50-40-2	300052-300055-300056	510211-510102-510152	510211-510220-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220504	60120504		1	1		
205105	第5章困难1-5	1	1	105421-205104					[50,[4]]	5001	5001				511027-511028-511029-511030	4_youleyuan	5105						sound/battle_sound/battle_003.mp3	5	2		0.6		300	300305			icon/fuben/levelIcon/Dungeon/youleyuan_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png	8006	3	300906		1	[[2]]	300801	300816	2-4-5	50-40-1	300052-300056-300057	510311-510102-510152	510212-510312-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220505	60120505		1	1		
205206	第5章困难2-1	1	1	105421-205105					[29,[1,2]]	5002	5001				511031-511032-511033-511034	4_shatan_01	5106						sound/battle_sound/battle_004.mp3	1	2		0.6		300	300301			icon/fuben/levelIcon/Dungeon/haibianbaitian_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-5-6	50-1-5	300052-300054-300055	510213-510102-510152	510213-510106-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220506	60120506		1	1		
205207	第5章困难2-2  （3波，15只）	1	1	105421-205206					[44,[4]]	5002	5001				511035-511036-511038	4_jiaowai_01	5107						sound/battle_sound/battle_002.mp3	2	2		0.6		150	300302			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				定时(怪物易进攻)	5	[[15]]	300803	300818	2-6-7	50-5-2	300052-300055-300056	510214-510102-510152	510214-220022-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220507	60120507		1	1		
205208	第5章困难2-3	1	1	105421-205207					[20,[3]]	5002	5001				511039-511040-511041-511042-511041	4_shatan_01	5108						sound/battle_sound/battle_001.mp3	3	2		0.6		300	300303			icon/fuben/levelIcon/Dungeon/haibianbaitian_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[2]]	300801	300816	2-4-5	50-40-1	300052-300056-300057	510215-510102-510152	510215-570002-510102-510152-220009	1	{500004:20}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220508	60120508		1	1		
